0 17  1 0.374545 -1
0 9 22 1 0.264545 -1
0 19  1 0.352727 -1
0 35  2 0.515 -1
0 31  2 0.485 -1
0   3 0.97 -1
0   4 0.388 -1
0 22 1 4 0.618 -1
0 6 15 5 0.441429 -1
0   5 0.294286 -1
0   5 0.294286 -1
0 19 14 6 0.38625 -1
0 24 14 6 0.36375 -1
0   6 0.2425 -1
0   7 0.277143 -1
0   7 0.277143 -1
0 1 32 7 0.441429 -1
0   8 0.97 -1
0   9 0.515 -1
0   9 0.485 -1
0   10 0.194 -1
0 16  10 0.388 -1
0 4  10 0.412 -1
0 39 17 11 0.280909 -1
0 5  11 0.374545 -1
0 19  11 0.352727 -1
0   12 1.03 -1
0 4 34 13 0.485 -1
0 5 6 13 0.485 -1
0   14 0.97 -1
0 17 6 15 0.515 -1
0 19 34 15 0.485 -1
0 6 2 16 0.582 -1
0   16 0.388 -1
0 18 24 17 0.291 -1
0 25  17 0.412 -1
0 5 15 17 0.291 -1
0   18 0.388 -1
0 26 39 18 0.618 -1
0 35  19 0.457778 -1
0   19 0.215556 -1
0 1 35 19 0.343333 -1
0   20 1.03 -1
0 18 12 21 0.618 -1
0   21 0.412 -1
0 39  22 0.97 -1
0   23 0.323333 -1
0 22  23 0.646667 -1
0   24 0.97 -1
0 2  25 0.374545 -1
0 1  25 0.374545 -1
0 37 35 25 0.264545 -1
0 6 37 26 0.515 -1
0 36 8 26 0.515 -1
0 32 39 27 1.03 -1
0 6 16 28 0.323333 -1
0 19 3 28 0.323333 -1
0 16 6 28 0.323333 -1
0 39  29 0.352727 -1
0 2 37 29 0.264545 -1
0 26  29 0.374545 -1
0 31 16 30 1.03 -1
0 12 36 31 1.03 -1
0 38  32 0.515 -1
0 18  32 0.515 -1
0 39  33 0.374545 -1
0 12  33 0.374545 -1
0 37 24 33 0.280909 -1
0   34 0.343333 -1
0   34 0.343333 -1
0   34 0.343333 -1
0   35 0.2575 -1
0 6 2 35 0.36375 -1
0 18 16 35 0.36375 -1
0 24  36 1.03 -1
0 11 34 37 0.97 -1
0 37 34 38 1.03 -1
0 19  39 0.485 -1
0 21  39 0.515 -1
1   0 1.03 -1
1 5 37 2 0.485 -1
1 20 12 2 0.485 -1
1 28 6 3 0.582 -1
1   3 0.412 -1
1 34 25 4 0.97 -1
1 16  5 1.03 -1
1 3  6 0.97 -1
1 32 17 7 0.309 -1
1 12  7 0.388 -1
1 36 20 7 0.309 -1
1 39 30 8 0.485 -1
1 29 3 8 0.515 -1
1 14  9 0.646667 -1
1   9 0.323333 -1
1   10 0.294286 -1
1 18 25 10 0.441429 -1
1   10 0.294286 -1
1   11 0.412 -1
1 19 34 11 0.618 -1
1   12 1.03 -1
1 29  13 0.485 -1
1 5  13 0.515 -1
1   14 0.515 -1
1   14 0.515 -1
1   15 0.323333 -1
1 3  15 0.646667 -1
1 24  16 0.554286 -1
1 11 6 16 0.415714 -1
1 16 3 17 0.485 -1
1 18 37 17 0.485 -1
1 23  18 0.431111 -1
1   18 0.215556 -1
1 6 35 18 0.343333 -1
1 11 16 19 0.97 -1
1 38  20 0.485 -1
1 39  20 0.485 -1
1   21 0.388 -1
1 9 19 21 0.618 -1
1 12 35 22 0.280909 -1
1 39  22 0.352727 -1
1 38  22 0.352727 -1
1 30  23 0.646667 -1
1   23 0.323333 -1
1 2 30 24 0.582 -1
1   24 0.412 -1
1   25 0.343333 -1
1 14  25 0.646667 -1
1 34  26 0.457778 -1
1   26 0.228889 -1
1 16 2 26 0.343333 -1
1 32 16 27 0.291 -1
1 32 11 27 0.309 -1
1 38  27 0.388 -1
1 36 33 28 0.618 -1
1   28 0.388 -1
1 21 37 29 0.343333 -1
1 16  29 0.431111 -1
1   29 0.215556 -1
1   30 1.03 -1
1   31 0.2425 -1
1 0  31 0.485 -1
1   31 0.2425 -1
1 14  32 0.374545 -1
1 6  32 0.352727 -1
1 12 2 32 0.264545 -1
1   33 0.97 -1
1 5 38 34 1.03 -1
1   35 1.03 -1
1   36 0.515 -1
1   36 0.485 -1
1 2  37 0.352727 -1
1 19  37 0.374545 -1
1 17 39 37 0.280909 -1
1 3  38 1.03 -1
1   39 0.97 -1
2 19  0 0.588571 -1
2 6 33 0 0.441429 -1
2   1 0.515 -1
2   1 0.515 -1
2 38  3 0.457778 -1
2   3 0.215556 -1
2 31 6 3 0.343333 -1
2   4 0.388 -1
2 17 26 4 0.582 -1
2   5 1.03 -1
2 39  6 0.485 -1
2 19  6 0.485 -1
2   7 0.97 -1
2 16  8 0.388 -1
2   8 0.194 -1
2 3  8 0.388 -1
2 31 20 9 0.323333 -1
2 29 4 9 0.343333 -1
2 39 20 9 0.343333 -1
2 1 39 10 0.343333 -1
2   10 0.228889 -1
2 11  10 0.457778 -1
2   11 1.03 -1
2 37 35 12 1.03 -1
2   13 0.97 -1
2   14 1.03 -1
2 37  15 1.03 -1
2 15 6 16 0.618 -1
2   16 0.388 -1
2 1 5 17 0.441429 -1
2 11  17 0.554286 -1
2 37  18 0.515 -1
2 16  18 0.485 -1
2   19 0.412 -1
2 29 35 19 0.618 -1
2 29 3 20 0.343333 -1
2   20 0.215556 -1
2 29  20 0.431111 -1
2   21 0.388 -1
2 16 30 21 0.582 -1
2 17 6 22 1.03 -1
2 4 37 23 0.618 -1
2   23 0.388 -1
2 6  24 0.97 -1
2 16 1 25 0.582 -1
2   25 0.412 -1
2 16 35 26 0.441429 -1
2   26 0.294286 -1
2   26 0.277143 -1
2 6  27 0.97 -1
2   28 0.97 -1
2 25  29 0.374545 -1
2 22  29 0.352727 -1
2 16 25 29 0.280909 -1
2   30 0.97 -1
2 8 19 31 0.415714 -1
2 0  31 0.588571 -1
2 4  32 1.03 -1
2 14  33 1.03 -1
2 16  34 0.352727 -1
2 36  34 0.352727 -1
2 25 6 34 0.264545 -1
2   35 0.228889 -1
2 37 33 35 0.323333 -1
2 36  35 0.457778 -1
2   36 1.03 -1
2 16 4 37 0.291 -1
2 35  37 0.412 -1
2 16 30 37 0.291 -1
2   38 1.03 -1
2   39 0.388 -1
2 19 0 39 0.582 -1
3   0 0.206 -1
3 14  0 0.412 -1
3 32  0 0.412 -1
3   1 1.03 -1
3 17 37 2 0.343333 -1
3 4  2 0.457778 -1
3   2 0.228889 -1
3   4 0.277143 -1
3   4 0.277143 -1
3 26 37 4 0.415714 -1
3   5 0.323333 -1
3   5 0.323333 -1
3   5 0.323333 -1
3 19  6 0.97 -1
3   7 0.228889 -1
3 37 32 7 0.343333 -1
3 2  7 0.457778 -1
3   8 0.277143 -1
3 17 31 8 0.415714 -1
3   8 0.294286 -1
3 11  9 0.588571 -1
3 18 17 9 0.415714 -1
3 6 20 10 1.03 -1
3 5 17 11 0.582 -1
3   11 0.388 -1
3 16 11 12 1.03 -1
3 15 16 13 0.582 -1
3   13 0.388 -1
3   14 0.294286 -1
3   14 0.277143 -1
3 35 38 14 0.415714 -1
3 18 4 15 0.415714 -1
3 2  15 0.588571 -1
3 6  16 0.374545 -1
3 30 26 16 0.280909 -1
3 20  16 0.374545 -1
3 5  17 1.03 -1
3 6 16 18 0.97 -1
3   19 1.03 -1
3 1 21 20 0.415714 -1
3 22  20 0.588571 -1
3 0 15 21 1.03 -1
3 17 35 22 0.97 -1
3   23 0.2575 -1
3   23 0.2575 -1
3 12  23 0.515 -1
3 25 17 24 0.415714 -1
3   24 0.277143 -1
3   24 0.277143 -1
3 29  25 0.388 -1
3 16 35 25 0.291 -1
3 4 2 25 0.291 -1
3 33 25 26 0.97 -1
3 0 22 27 0.415714 -1
3 12  27 0.588571 -1
3 9  28 1.03 -1
3 13  29 0.485 -1
3 23  29 0.515 -1
3   30 1.03 -1
3 37 2 31 0.415714 -1
3 35  31 0.588571 -1
3 2 5 32 0.485 -1
3 27 39 32 0.515 -1
3 16  33 1.03 -1
3   34 0.412 -1
3 14 37 34 0.618 -1
3   35 1.03 -1
3 20  36 0.97 -1
3 35 39 37 0.97 -1
3 20 10 38 0.309 -1
3 4 34 38 0.309 -1
3 8  38 0.388 -1
3 37 2 39 0.515 -1
3 34 6 39 0.485 -1
4   0 0.277143 -1
4   0 0.294286 -1
4 30 37 0 0.441429 -1
4 33  1 0.485 -1
4   1 0.2425 -1
4   1 0.2425 -1
4 6 18 2 0.415714 -1
4   2 0.277143 -1
4   2 0.277143 -1
4   3 0.343333 -1
4 5  3 0.646667 -1
4   5 1.03 -1
4 30 1 6 0.97 -1
4 22  7 0.97 -1
4 19  8 0.431111 -1
4 3 6 8 0.343333 -1
4   8 0.215556 -1
4   9 0.323333 -1
4 39  9 0.646667 -1
4 20  10 0.412 -1
4 38 1 10 0.291 -1
4 35 32 10 0.291 -1
4 19  11 0.485 -1
4 16  11 0.515 -1
4 35 17 12 0.441429 -1
4   12 0.294286 -1
4   12 0.277143 -1
4   13 1.03 -1
4 18  14 0.457778 -1
4   14 0.215556 -1
4 6 18 14 0.323333 -1
4 37  15 0.485 -1
4 6  15 0.485 -1
4 19 2 16 0.323333 -1
4   16 0.215556 -1
4 19  16 0.431111 -1
4   17 0.97 -1
4 0  18 0.686667 -1
4   18 0.343333 -1
4 20  19 0.388 -1
4 2  19 0.412 -1
4   19 0.194 -1
4 6  20 0.588571 -1
4 34 1 20 0.441429 -1
4 32 25 21 0.485 -1
4 15 5 21 0.485 -1
4 16  22 0.97 -1
4 29 30 23 0.97 -1
4 25  24 0.554286 -1
4 39 31 24 0.441429 -1
4 12 19 25 0.415714 -1
4 35  25 0.588571 -1
4 0  26 0.485 -1
4 17  26 0.485 -1
4 39  27 0.485 -1
4 2  27 0.515 -1
4   28 0.343333 -1
4 24  28 0.686667 -1
4 35 17 29 0.323333 -1
4 6  29 0.457778 -1
4   29 0.215556 -1
4   30 0.485 -1
4   30 0.515 -1
4   31 0.2425 -1
4 18 13 31 0.36375 -1
4 0 37 31 0.38625 -1
4 24 0 32 0.36375 -1
4 36 24 32 0.36375 -1
4   32 0.2425 -1
4   33 1.03 -1
4 33 5 34 1.03 -1
4 13 16 35 0.515 -1
4 37 2 35 0.485 -1
4 19 34 36 0.582 -1
4   36 0.388 -1
4 9 0 37 0.343333 -1
4 5 16 37 0.343333 -1
4 33 6 37 0.343333 -1
4 24 14 38 0.343333 -1
4 35  38 0.431111 -1
4   38 0.228889 -1
4 17  39 0.554286 -1
4 5 19 39 0.415714 -1
5 39 18 0 0.36375 -1
5 2 39 0 0.36375 -1
5   0 0.2425 -1
5 24 23 1 0.441429 -1
5 35  1 0.588571 -1
5 16  2 0.97 -1
5   3 0.323333 -1
5 36  3 0.686667 -1
5 37 25 4 0.582 -1
5   4 0.388 -1
5 12 0 6 0.343333 -1
5 38 3 6 0.323333 -1
5 3 33 6 0.323333 -1
5 31 29 7 0.582 -1
5   7 0.388 -1
5 38 16 8 0.97 -1
5   9 0.515 -1
5   9 0.515 -1
5 6 34 10 0.582 -1
5   10 0.388 -1
5 35  11 1.03 -1
5 13 29 12 1.03 -1
5 24  13 0.686667 -1
5   13 0.323333 -1
5   14 0.97 -1
5 3 14 15 0.441429 -1
5 35  15 0.588571 -1
5 26 35 16 0.441429 -1
5   16 0.277143 -1
5   16 0.294286 -1
5 3 19 17 0.343333 -1
5 37 34 17 0.323333 -1
5 1 37 17 0.343333 -1
5 35  18 1.03 -1
5 2 3 19 0.323333 -1
5   19 0.215556 -1
5 35  19 0.431111 -1
5 8  20 1.03 -1
5 38  21 0.515 -1
5 2  21 0.485 -1
5 1  22 0.374545 -1
5 39  22 0.374545 -1
5 3 29 22 0.280909 -1
5 4 3 23 0.441429 -1
5 30  23 0.554286 -1
5   24 0.97 -1
5 38 39 25 0.441429 -1
5 6  25 0.588571 -1
5 32 37 26 0.415714 -1
5 30  26 0.588571 -1
5   27 0.277143 -1
5   27 0.277143 -1
5 37 35 27 0.415714 -1
5 22 8 28 0.38625 -1
5   28 0.2575 -1
5 26 2 28 0.36375 -1
5 37  29 0.686667 -1
5   29 0.323333 -1
5 2 27 30 0.515 -1
5 26 13 30 0.515 -1
5 32  31 0.515 -1
5 35  31 0.515 -1
5 33  32 1.03 -1
5 32  33 0.97 -1
5 2  34 0.554286 -1
5 4 0 34 0.441429 -1
5 38  35 0.97 -1
5 33 23 36 0.515 -1
5 11 14 36 0.515 -1
5 1  37 0.374545 -1
5 38  37 0.352727 -1
5 16 19 37 0.280909 -1
5 37 2 38 0.515 -1
5 3 33 38 0.485 -1
5   39 1.03 -1
6   0 0.97 -1
6 14  1 0.515 -1
6 36  1 0.515 -1
6 4 18 2 1.03 -1
6 31 26 3 0.618 -1
6   3 0.412 -1
6   4 0.343333 -1
6 15  4 0.686667 -1
6 14  5 0.457778 -1
6   5 0.228889 -1
6 37 20 5 0.323333 -1
6 24 29 7 0.515 -1
6 35 39 7 0.515 -1
6   8 0.515 -1
6   8 0.515 -1
6 2 20 9 0.264545 -1
6 35  9 0.352727 -1
6 34  9 0.374545 -1
6   10 0.228889 -1
6 39 20 10 0.323333 -1
6 5  10 0.431111 -1
6 4  11 0.431111 -1
6   11 0.228889 -1
6 24 20 11 0.323333 -1
6   12 0.515 -1
6   12 0.515 -1
6   13 0.485 -1
6   13 0.515 -1
6 3 35 14 1.03 -1
6 29 34 15 0.323333 -1
6 4 19 15 0.323333 -1
6 16 33 15 0.323333 -1
6 2  16 0.97 -1
6   17 0.412 -1
6 19 39 17 0.582 -1
6 2  18 0.646667 -1
6   18 0.343333 -1
6 1  19 1.03 -1
6 32  20 0.97 -1
6   21 0.97 -1
6 3  22 0.457778 -1
6 23 12 22 0.343333 -1
6   22 0.215556 -1
6 34  23 0.388 -1
6   23 0.194 -1
6 3  23 0.412 -1
6 29 20 24 0.485 -1
6 39 4 24 0.485 -1
6   25 0.412 -1
6 14 36 25 0.582 -1
6   26 0.515 -1
6   26 0.515 -1
6 35 4 27 0.441429 -1
6   27 0.277143 -1
6   27 0.277143 -1
6   28 0.97 -1
6   29 0.323333 -1
6   29 0.343333 -1
6   29 0.343333 -1
6 34  30 0.323333 -1
6 23  30 0.343333 -1
6 20  30 0.343333 -1
6 26 18 31 0.291 -1
6 2  31 0.412 -1
6 5 24 31 0.309 -1
6   32 1.03 -1
6   33 0.323333 -1
6 19  33 0.646667 -1
6   34 0.215556 -1
6 24  34 0.457778 -1
6 4 17 34 0.343333 -1
6 19  35 1.03 -1
6 20  36 0.515 -1
6 23  36 0.485 -1
6 0 2 37 0.323333 -1
6 3  37 0.457778 -1
6   37 0.228889 -1
6 17 29 38 0.582 -1
6   38 0.388 -1
6 33 2 39 0.618 -1
6   39 0.388 -1
7 26  0 1.03 -1
7 34  1 1.03 -1
7 6  2 0.97 -1
7   3 1.03 -1
7 12 16 4 0.264545 -1
7 37  4 0.352727 -1
7 20  4 0.374545 -1
7 23 6 5 0.323333 -1
7 37  5 0.457778 -1
