0 1416 2566 1962 2545 1692 1775 2989 1063 1697 1701 1552 1485 1023 1408 1585 1895 1142 1545 2107 2011 2264 1879 2758 1372 2006 1897 1973 2187 2627 1583 1491 2768 2934 1422 2889 2214 1131 1621 1435 
2007 0 1032 2499 2640 1262 1759 2782 1241 1886 2554 2804 2928 2840 2376 1092 2572 1507 1880 1065 1169 1368 1553 2510 2292 1226 2860 1532 1605 2774 2847 2746 1580 2002 2337 1878 2495 2560 1158 1435 
2486 2438 0 1320 2906 2624 2593 1271 1019 1712 2071 2281 1442 2913 2005 1158 1683 1613 1123 1411 2634 1018 1867 1361 1173 2902 2388 2366 1107 2245 2191 1742 1465 1983 2693 1102 1632 2479 1842 1849 
2583 1386 2013 0 1513 2532 1727 2870 1818 2882 1159 2389 1199 1580 2052 2850 2032 2088 2312 1324 1051 1984 1297 1668 2694 2162 2471 2119 2502 1357 1224 2774 2933 2110 1254 2633 2192 2323 2614 1925 
2250 1986 2151 1996 0 1466 2291 2532 2269 1612 1949 1752 2246 2868 1193 2189 2795 1369 1813 1692 2809 2308 1865 1122 1782 1374 1912 1235 1430 1092 2495 1592 2037 2801 2805 2691 1587 1715 1667 2642 
1172 2831 2365 2765 1710 0 2097 2860 2659 2501 1584 1799 2102 1171 1660 1625 2704 1028 1395 1696 1093 2292 2451 1417 2979 2024 1783 1449 1675 2141 1210 2333 2257 2719 1880 1152 1078 1916 2365 1535 
1201 1353 2326 1422 1351 2071 0 1148 1544 1563 1938 2581 2595 2900 2503 1389 1038 1974 2480 1343 1250 2447 2795 2169 1988 2970 2769 2141 1755 2639 1036 2871 1964 1105 1044 2976 2644 2339 1110 1171 
1110 1702 2998 1423 2161 2189 1364 0 1428 2307 1251 2335 2836 1166 1330 1360 2273 1413 2761 1118 2897 2535 1965 2522 1809 2886 2052 1547 1717 1835 2584 2608 2847 2455 1720 2805 2563 1079 2809 2037 
1802 1874 2065 2166 2221 1202 2523 2993 0 1455 2788 1172 2818 1522 1887 2863 2307 2386 2960 1080 1672 2682 1436 2958 1635 2263 2958 2394 1231 2627 2451 2837 2966 1518 1851 2432 1555 1123 2704 2249 
1389 1088 2891 2640 2685 1583 1287 2523 2930 0 1817 1794 2456 2125 2010 2680 1246 2679 2000 1112 1698 1337 2516 2473 2020 1467 2943 1930 1487 2050 2468 2424 1690 2563 2664 2734 1900 1734 2432 1151 
2051 1316 2840 1417 2393 1350 2169 1109 2217 1683 0 1783 1376 1115 2380 2757 2823 1438 1168 1386 1931 2455 1464 1663 2765 2556 1149 2367 1998 1081 2300 1844 2565 2692 1329 1421 2979 2420 1485 1986 
1315 2145 2299 2617 2924 2467 1604 1024 2923 2144 1044 0 2464 1463 2344 2168 1654 2364 1317 1332 1638 1432 1098 2574 1408 2988 1318 2062 2288 1525 1697 1395 1094 2610 1033 2374 1668 2602 1206 1684 
2602 1153 2955 2774 2924 2228 2269 1802 1763 1313 1554 1861 0 1948 2059 1172 1186 2426 2995 1692 1019 1665 2338 2409 1823 1571 1652 1813 2323 1648 1217 2560 2233 2722 1542 1286 2421 2900 2552 2309 
