0 67  1 0.8 -1
0   2 1.2 -1
0 8  3 0.4 -1
0 58  3 0.266667 -1
0 41  3 0.266667 -1
0 75  4 0.533333 -1
0   4 0.266667 -1
0   5 0.266667 -1
0 30  5 0.533333 -1
0   6 1.2 -1
0 9  7 0.290909 -1
0 58 55 7 0.218182 -1
0 35  7 0.436364 -1
0 33 63 8 0.8 -1
0 1 70 9 1.2 -1
0 78 45 10 0.218182 -1
0 70  10 0.436364 -1
0 15  10 0.436364 -1
0 59  11 0.32 -1
0   11 0.24 -1
0 47  11 0.32 -1
0 65  12 0.4 -1
0 61  12 0.6 -1
0 9 65 13 0.6 -1
0 75 51 13 0.6 -1
0 21 11 14 0.8 -1
0   15 0.32 -1
0 63 28 15 0.48 -1
0   16 1.2 -1
0 60  17 0.6 -1
0 72  17 0.6 -1
0   18 0.4 -1
0 25  18 0.8 -1
0 13  19 0.8 -1
0 44 1 20 1.2 -1
0   21 0.266667 -1
0   21 0.4 -1
0   21 0.266667 -1
0 43  22 0.48 -1
0 68 26 22 0.36 -1
0 38 47 22 0.36 -1
0 20  23 0.8 -1
0 46 31 24 0.4 -1
0 78 51 24 0.6 -1
0 14 34 25 0.72 -1
0   25 0.32 -1
0   26 0.8 -1
0 46 51 27 0.3 -1
0 49 54 27 0.45 -1
0   27 0.2 -1
0 16  28 0.533333 -1
0   28 0.177778 -1
0 64 20 28 0.266667 -1
0   29 0.24 -1
0 26  29 0.32 -1
0 57  29 0.48 -1
0   30 0.8 -1
0   31 0.4 -1
0   31 0.266667 -1
0   31 0.4 -1
0 55 36 32 0.514286 -1
0 25  32 0.685714 -1
0   33 0.177778 -1
0 47  33 0.355556 -1
0 25 68 33 0.4 -1
0   34 0.3 -1
0 51  34 0.4 -1
0   34 0.2 -1
0 64  35 0.6 -1
0   35 0.2 -1
0   35 0.3 -1
0   36 0.32 -1
0 22 75 36 0.72 -1
0   37 0.4 -1
0 59  37 0.8 -1
0   38 0.6 -1
0   38 0.4 -1
0 54 9 39 0.8 -1
0   40 1.2 -1
0   41 0.177778 -1
0 6 49 41 0.266667 -1
0 37  41 0.355556 -1
0 36  42 0.355556 -1
0   42 0.266667 -1
0 1 10 42 0.4 -1
0 25 63 43 0.514286 -1
0 52  43 0.457143 -1
0 15  44 0.533333 -1
0   44 0.4 -1
0 34  45 1.2 -1
0 1  46 0.6 -1
0 75  46 0.4 -1
0   47 0.32 -1
0 6 20 47 0.72 -1
0 78  48 0.8 -1
0   49 0.3 -1
0 6 43 49 0.45 -1
0 68 58 49 0.45 -1
0 47 3 50 0.8 -1
0 41 15 51 0.8 -1
0   52 0.228571 -1
0   52 0.228571 -1
0 6 65 52 0.514286 -1
0 37 51 53 0.342857 -1
0 26  53 0.685714 -1
0 35 37 54 0.6 -1
0 49 70 54 0.6 -1
0 65 44 55 0.36 -1
0 65 46 55 0.36 -1
0 10  55 0.48 -1
0 72  56 0.436364 -1
0 76 45 56 0.327273 -1
0 63  56 0.290909 -1
0 49  57 0.4 -1
0 54  57 0.6 -1
0   58 1.2 -1
0   59 0.4 -1
0   59 0.4 -1
0 69  60 0.8 -1
0   61 0.4 -1
0 21  61 0.8 -1
0 50  62 0.4 -1
0   62 0.2 -1
0   62 0.3 -1
0 34  63 0.4 -1
0 37  63 0.4 -1
0 38  64 0.6 -1
0 10  64 0.6 -1
0 76  65 0.48 -1
0   65 0.24 -1
0 33  65 0.48 -1
0   66 0.32 -1
0 29 59 66 0.48 -1
0   67 0.4 -1
0   67 0.4 -1
0   67 0.4 -1
0 10  68 1.2 -1
0   69 0.32 -1
0 70 28 69 0.72 -1
0 10 58 70 0.218182 -1
0 55  70 0.290909 -1
0 17  70 0.290909 -1
0 57 30 71 0.266667 -1
0   71 0.266667 -1
0 29  71 0.355556 -1
0   72 0.8 -1
0   73 0.8 -1
0   74 0.266667 -1
0 46 44 74 0.266667 -1
0 56  74 0.355556 -1
0 1 28 75 1.2 -1
0   76 1.2 -1
0 48 16 77 0.8 -1
0 45  78 0.6 -1
0 30  78 0.6 -1
0 20 49 79 0.514286 -1
0 53  79 0.457143 -1
1 70 29 0 0.8 -1
1   2 0.228571 -1
1   2 0.342857 -1
1 33 22 2 0.514286 -1
1 26  3 0.8 -1
1   3 0.4 -1
1   4 0.3 -1
1 52 17 4 0.45 -1
1 13 33 4 0.45 -1
1 50 63 5 1.2 -1
1 42  6 0.8 -1
1 73  7 0.290909 -1
1 38  7 0.436364 -1
1 40 59 7 0.327273 -1
1 13 66 8 0.4 -1
1 63 51 8 0.4 -1
1 40 3 8 0.266667 -1
1 41 57 9 0.218182 -1
1 64  9 0.436364 -1
1 17  9 0.290909 -1
1 63 41 10 0.4 -1
1 54 49 10 0.4 -1
1   11 0.4 -1
1 25  11 0.533333 -1
1 59 25 12 0.8 -1
1 58  13 0.8 -1
1   14 0.4 -1
1   14 0.266667 -1
1   14 0.266667 -1
1 38  15 0.4 -1
1 5  15 0.266667 -1
1 14  15 0.266667 -1
