0 2152 2337 1784 1952 1648 2186 1078 1228 1935 2446 1154 2050 1832 2876 1959 1374 2784 1270 1898 
1471 0 1138 1929 1801 1454 2860 1908 1041 2515 2082 1568 1955 1095 1324 2951 2905 1246 1262 2341 
2620 1105 0 2571 1165 1227 2338 2117 1653 1506 2456 1406 1253 1489 1988 2459 1486 1201 1929 1629 
1945 1901 1909 0 2452 1879 2139 1352 2081 1449 1318 1288 1125 1506 2403 2708 2052 1149 2496 1756 
2371 1853 1451 2658 0 1937 2384 2900 1147 2829 2228 2368 1197 2832 2520 1333 1029 1622 2817 2108 
1233 2601 2962 2598 2741 0 2672 1723 1657 1033 1289 1069 2298 2793 2972 2562 2390 1731 1899 2058 
1656 2283 1659 1380 2770 2440 0 2284 1235 2483 1501 2660 2976 2805 2368 2493 1024 2767 1854 1743 
2852 1603 2024 2757 2694 2384 2849 0 1701 2348 2964 1630 1912 2756 2971 2120 2562 2632 1595 2402 
2238 1217 1213 2988 1898 2273 2714 1196 0 2567 1370 2634 2587 1711 2446 2944 2665 2298 2644 1588 
1467 1907 2879 2519 1407 1102 2664 2331 1811 0 2272 1875 2122 2463 1997 1357 1051 2892 2249 2468 
1356 2338 1542 2724 2010 1267 2625 1549 1271 1225 0 1654 2064 1390 2858 1972 1026 2414 2524 1830 
2856 1816 2658 2768 1046 1523 2636 2366 1031 1456 1479 0 2559 1093 2634 1257 1239 1535 2296 2295 
2895 2686 1049 1100 2826 2553 2153 1431 2898 1320 2913 2145 0 2477 1131 1868 2589 1956 2908 2392 
1134 1006 2384 1324 1655 1222 2047 1700 1998 2255 1438 2910 1472 0 2433 2523 2113 1529 2508 2739 
2458 2561 1798 1219 2147 1697 1332 1735 1502 2785 1801 1871 2780 2841 0 1375 1658 1574 1321 1540 
2207 1904 2066 1726 1119 1857 2768 2074 1101 1060 2964 2545 2718 1612 2066 0 2633 1437 1615 2067 
2035 1187 1749 1884 1981 1371 1732 2009 2473 1577 2983 1893 1991 1385 2306 2214 0 2622 2530 2103 
1577 1845 1380 2368 1303 1869 1701 1855 1571 2013 1495 1824 2503 1999 2994 2120 2317 0 2636 2284 
2563 2599 2329 1482 1534 2729 1678 2951 2191 1785 1119 1506 2310 1153 2812 2621 1346 1657 0 2277 
1843 1751 1994 1349 1213 2125 1917 1229 1643 2253 1678 2915 1094 2150 2714 1592 1765 2123 2923 0 
