0 2117 2073 2878 2731 1814 2691 2668 2406 1095 1234 1609 2679 2304 1780 2043 2354 1139 2338 2535 
2291 0 2034 1142 2211 2841 2406 1357 1413 1433 2120 1609 1713 2758 2732 2835 1172 2223 2582 2612 
1097 2858 0 1832 2170 2959 2911 2397 2416 2774 1050 1796 1479 1220 2190 2114 2493 2095 2874 2631 
1825 2161 2013 0 1790 1942 1977 1791 1623 1852 1527 2514 2991 2967 2177 2377 1541 2098 2779 2850 
1700 2459 1420 2449 0 2664 1361 1969 1149 2923 2997 2520 1265 1270 1740 1252 2106 2878 2728 2070 
1731 1446 1479 2003 2160 0 1456 2072 2463 1066 2415 1266 1665 2117 2351 2189 2847 2624 2609 2365 
1130 1748 2788 1758 2832 1495 0 1612 2349 2445 1957 2890 1499 1608 2387 1194 2198 2266 1694 1253 
1854 1450 2598 2983 2490 2898 2255 0 1797 2106 2961 2263 2300 2647 2926 2703 2309 1262 2818 1046 
2779 2674 2730 2625 1092 2903 1241 2491 0 1536 2184 1817 1134 1609 2127 2481 1808 2739 1024 2921 
2081 1319 1696 1675 2789 2566 2071 1134 2255 0 1782 2389 1715 1449 2728 1565 1319 2173 1195 2582 
1483 1913 1473 1197 1312 2022 1061 1856 2981 2634 0 2377 2051 1951 2433 2539 2818 2594 2581 2315 
1310 1113 1406 2700 1390 1745 2520 1438 2245 2966 2937 0 2509 2661 1105 2343 2036 2732 1831 2527 
1099 2052 1026 2138 1448 2490 1604 2649 1192 2943 1975 1982 0 1070 1953 1044 2023 2375 1101 2364 
2156 2955 2384 1374 2626 2637 1207 2515 1312 2863 1836 2850 1041 0 2602 2125 2547 2865 2403 2431 
2475 1485 1997 2635 1800 2181 2158 2535 2867 1805 2462 2879 2709 2923 0 1539 2561 2754 1670 1380 
2207 1456 2712 2416 1338 1932 1880 1738 1621 1416 1411 2970 2926 2394 1786 0 1644 1807 2955 1656 
1807 1777 1773 2443 2744 2632 1936 1523 1594 1623 2782 2142 1226 1222 1652 2023 0 1928 2375 2016 
2841 1679 2736 2102 1766 1452 2178 1355 2254 2191 2213 1067 2437 2840 2980 1882 2611 0 1435 2351 
2517 1385 1840 1085 1292 1852 2711 1793 1868 2423 2051 1703 2534 1906 1604 1329 1549 1764 0 1487 
1251 1947 2569 1478 1226 1488 2446 2336 2147 2578 2564 1673 2977 2365 1607 1340 1742 1336 2186 0 
