0 244987 254479
1 476034 471038
2 343920 344196
3 467833 450376
4 272531 284113
5 415116 404569
6 503300 515936
7 517001 503442
8 367330 370685
9 550491 556177
10 199112 201955
11 334617 335753
12 308480 334562
13 452709 453129
14 435596 434313
15 333980 318512
16 418450 423108
17 538188 536624
18 408009 419479
19 352492 355205
20 471879 460995
21 221307 227684
22 477366 480704
23 234172 220524
24 561087 563913
25 471239 472251
26 437274 447964
27 538012 533731
28 318744 319844
29 541079 551836
30 536854 537824
31 604778 599810
32 535479 528299
33 598016 603761
34 448311 446514
35 301452 297496
36 284401 285643
37 401579 394238
38 231868 232609
39 484234 489765
40 367209 367485
41 390508 389941
42 261471 253440
43 412428 411358
44 367157 374380
45 526213 521685
46 422627 406503
47 505256 503432
48 484346 486714
49 353148 338140
50 258541 266419
51 193100 201121
52 279094 281993
53 530626 517748
54 322310 312850
55 307279 307123
56 567571 562633
57 224096 229713
58 382113 384656
59 271266 293055
60 494499 489386
61 398407 392605
62 368464 376852
63 349493 352798
64 530649 535189
65 244824 248121
66 295334 295686
67 311883 303917
68 330809 336451
69 274926 273956
70 584084 595269
71 559442 561440
72 502120 499592
73 276987 283324
74 484776 478216
75 360030 373416
76 375426 392190
77 540645 549687
78 315237 316901
79 284316 278804
80 436461 427819
81 559712 560605
82 573837 581324
83 362477 361083
84 278036 268916
85 561581 557411
86 413241 405596
87 565508 561848
88 520159 523729
89 605683 599797
90 391499 401239
91 234919 224601
92 441190 436661
93 559201 554572
94 308002 301557
95 246702 250863
96 271489 271062
97 478167 468727
98 306399 301251
99 391180 387554
