0 71  1 1.2 -1
0 16  2 0.685714 -1
0 98 82 2 0.342857 -1
0 74  3 1.2 -1
0   4 0.24 -1
0 40  4 0.48 -1
0 33  4 0.48 -1
0   5 0.8 -1
0   6 0.228571 -1
0   6 0.228571 -1
0 83 33 6 0.514286 -1
0   7 0.8 -1
0 85  8 0.685714 -1
0 53 12 8 0.514286 -1
0   9 0.16 -1
0 82  9 0.48 -1
0 75  9 0.32 -1
0 17 22 10 0.48 -1
0   10 0.32 -1
0 86 27 11 0.8 -1
0 45 26 12 1.2 -1
0   13 0.266667 -1
0   13 0.266667 -1
0   13 0.266667 -1
0 32  14 0.6 -1
0 1  14 0.6 -1
0   15 0.266667 -1
0 25  15 0.533333 -1
0 27 77 16 0.514286 -1
0 56  16 0.685714 -1
0   17 1.2 -1
0   18 0.24 -1
0 47  18 0.48 -1
0 43  18 0.32 -1
0 72 9 19 0.266667 -1
0 32 75 19 0.4 -1
0 56 77 19 0.4 -1
0   20 0.4 -1
0 26  20 0.533333 -1
0 29 26 21 0.3 -1
0   21 0.3 -1
0 9 2 21 0.3 -1
0   22 0.8 -1
0 64  23 0.685714 -1
0 96 54 23 0.342857 -1
0 3  24 0.457143 -1
0 77 1 24 0.514286 -1
0   25 0.2 -1
0   25 0.2 -1
0 80  25 0.4 -1
0   26 1.2 -1
0   27 0.266667 -1
0   27 0.4 -1
0   27 0.4 -1
0   28 0.8 -1
0 36  29 1.2 -1
0 43  30 1.2 -1
0 27  31 0.4 -1
0   31 0.3 -1
0   31 0.3 -1
0   32 0.177778 -1
0 48 20 32 0.4 -1
0 53  32 0.355556 -1
0   33 1.2 -1
0 44  34 0.8 -1
0 37 27 35 1.2 -1
0 37  36 0.4 -1
0 31  36 0.6 -1
0   37 1.2 -1
0 12 58 38 0.342857 -1
0 32  38 0.685714 -1
0 81  39 0.8 -1
0   40 0.2 -1
0 31  40 0.4 -1
0   40 0.3 -1
0   41 0.4 -1
0   41 0.4 -1
0   41 0.4 -1
0 34  42 0.4 -1
0 8  42 0.6 -1
0 17 33 43 1.2 -1
0 46 58 44 0.8 -1
0   45 0.4 -1
0   45 0.6 -1
0 73 7 46 1.2 -1
0 31  47 0.266667 -1
0 85  47 0.266667 -1
0 17  47 0.266667 -1
0   48 0.8 -1
0 8 29 49 0.342857 -1
0 7  49 0.457143 -1
0 60  50 0.8 -1
0 14 67 51 0.8 -1
0 30 75 52 0.4 -1
0 39 45 52 0.4 -1
0   53 0.342857 -1
0 11 71 53 0.514286 -1
0   53 0.228571 -1
0 36 46 54 0.218182 -1
0 53  54 0.436364 -1
0 31  54 0.290909 -1
0 95  55 0.436364 -1
0 20 67 55 0.327273 -1
0 93  55 0.436364 -1
0   56 0.48 -1
0 37 43 56 0.48 -1
0 34 53 57 1.2 -1
0   58 0.8 -1
0 93 61 59 0.8 -1
0 11 20 60 0.48 -1
0   60 0.48 -1
0 56  61 0.48 -1
0 27 33 61 0.24 -1
0 74 25 61 0.36 -1
0 33 93 62 0.266667 -1
0   62 0.266667 -1
0 58  62 0.533333 -1
0   63 0.8 -1
0 97 22 64 0.266667 -1
0   64 0.266667 -1
0 27  64 0.533333 -1
0 47  65 1.2 -1
0   66 1.2 -1
0 43 88 67 0.8 -1
0 87 91 68 0.218182 -1
0 25  68 0.290909 -1
0 88  68 0.290909 -1
0 20  69 0.4 -1
0 52  69 0.6 -1
0 92 3 70 0.36 -1
0 98 19 70 0.24 -1
0 56  70 0.32 -1
0 27 17 71 1.2 -1
0 46  72 0.8 -1
0   72 0.4 -1
0   73 1.2 -1
0   74 1.2 -1
0 70  75 0.8 -1
0   75 0.266667 -1
0 66  76 0.8 -1
0 81 15 77 0.36 -1
0 85 25 77 0.24 -1
0 93  77 0.32 -1
0 22 88 78 0.266667 -1
0 16  78 0.355556 -1
0   78 0.177778 -1
0   79 0.32 -1
0 74 9 79 0.48 -1
0   80 0.8 -1
0 93 43 81 0.342857 -1
0   81 0.228571 -1
0   81 0.342857 -1
0 67 16 82 1.2 -1
0 77 71 83 0.327273 -1
0 81  83 0.436364 -1
0 80  83 0.290909 -1
0   84 0.266667 -1
0 76  84 0.533333 -1
0 92 54 85 0.36 -1
0 82  85 0.32 -1
0 98 47 85 0.24 -1
0 24 90 86 0.342857 -1
0 70  86 0.685714 -1
0   87 0.2 -1
0 74 85 87 0.3 -1
0 78 48 87 0.3 -1
0 37  88 1.2 -1
0 36 77 89 0.8 -1
0 18 30 90 0.342857 -1
0 74  90 0.685714 -1
0 22 71 91 0.8 -1
0 25 73 92 0.8 -1
0 33 9 93 0.8 -1
0 69 64 94 0.4 -1
0 97 82 94 0.4 -1
0 6  95 0.4 -1
0   95 0.2 -1
0   95 0.2 -1
0   96 0.48 -1
0 71 77 96 0.72 -1
0 47 49 97 0.514286 -1
0   97 0.228571 -1
0   97 0.228571 -1
0   98 1.2 -1
0 82  99 0.8 -1
1 72  0 1.2 -1
1   2 0.24 -1
1 81  2 0.48 -1
1 64  2 0.48 -1
1 83 69 3 1.2 -1
1 28 2 4 1.2 -1
1 73  5 0.8 -1
1   6 0.4 -1
