0,167386,162623
1,385723,389752
2,307319,310267
3,431297,435037
4,204804,215840
5,384302,387602
6,211917,219097
7,358743,351464
8,263514,261229
9,358802,376743
10,376539,368925
11,447621,459697
12,232479,229391
13,387980,375223
14,221873,218916
15,389536,378004
16,239673,234600
17,260763,268269
18,429110,437009
19,162224,165698
20,228192,217224
21,388045,386800
22,265553,275333
23,314970,316742
24,385880,378136
25,394568,401267
26,432455,425399
27,320719,309470
28,171155,161650
29,201388,201624
30,468912,472724
31,251644,249027
32,425434,433408
33,218408,220438
34,449478,442817
35,366329,371359
36,418190,411387
37,219434,206246
38,302693,317262
39,450070,445170
40,240706,240184
41,277427,277626
42,436917,441146
43,224899,223181
44,344165,342697
45,328288,339837
46,462821,460529
47,328672,330308
48,399730,399253
49,181782,182237
50,385092,383245
51,192733,188203
52,282113,286682
53,371469,365556
54,366769,367136
55,428672,428553
56,344192,339376
57,383298,387657
58,341413,325083
59,182729,189501
60,221977,219790
61,313447,304530
62,184390,190600
63,167242,168519
64,165120,166013
65,347643,347858
66,345058,350976
67,404685,408141
68,275254,284635
69,251965,249311
70,385187,385894
71,489537,489787
72,467180,461329
73,271252,279917
74,211101,202318
75,442015,433705
76,460673,460147
77,369258,360639
78,382458,395477
79,254916,262922
