0 459238 455747
1 497795 510840
2 253236 253871
3 284322 284644
4 410383 420855
5 282421 279586
6 425648 430719
7 457558 446724
8 308092 309241
9 419262 406962
10 327409 344291
11 383727 393012
12 354097 370473
13 421896 419718
14 296787 307329
15 306377 326166
16 474500 476883
17 211369 218342
18 246917 255210
19 235644 217030
20 585437 588064
21 612123 592114
22 375628 367896
23 281696 283830
24 579806 581002
25 200038 201807
26 471618 457980
27 222605 219706
28 381473 384055
29 470619 462071
30 247635 260577
31 263588 264411
32 401071 402739
33 556386 568790
34 446154 459438
35 214424 207246
36 343581 342338
37 610709 609492
38 301074 288466
39 200665 206593
40 308937 318389
41 455713 460514
42 296927 283914
43 239021 239743
44 240242 231914
45 176781 180264
46 548791 536965
47 556814 562793
48 370519 351233
49 494151 483442
50 548289 542524
51 314861 314474
52 563086 571342
53 555786 564214
54 529013 523804
55 241615 240316
56 419336 416964
57 283357 283910
58 447963 448532
59 450548 444646
60 312129 305804
61 525188 532646
62 314449 318167
63 415810 419776
64 428857 426636
65 200564 197863
66 356530 349894
67 291097 290343
68 216142 214098
69 310421 310855
70 359619 360300
71 412662 415163
72 383988 378369
73 565687 563429
74 294972 301289
75 324137 321941
76 376311 371590
77 361521 363958
78 211132 216531
79 270794 258684
80 214352 213476
81 169874 168747
82 413333 410636
83 474950 478957
84 448610 452955
85 312593 314736
86 215100 208316
87 430151 427128
88 357263 361255
89 301630 307244
