Header
AAA,AAB,Airline,9355,2338,4677.5,1,,
AAA,AAC,Airline,5525,1381,2762.67,1,,
AAA,AAD,Airline,4175,1043,2087.5,1,,
AAA,AAE,Airline,9525,2381,4762.5,1,,
AAB,AAA,Airline,8752,2188,4376.25,1,,
AAB,AAC,Airline,5821,1455,2910.83,1,,
AAB,AAD,Airline,5099,1274,2549.5,1,,
AAB,AAE,Airline,5303,1325,2651.5,1,,
AAC,AAA,Airline,7001,1750,3500.67,1,,
AAC,AAB,Airline,5494,1373,2747.17,1,,
AAC,AAD,Airline,5504,1376,2752.33,1,,
AAC,AAE,Airline,5136,1284,2568,1,,
AAD,AAA,Airline,7212,1803,3606.08,1,,
AAD,AAB,Airline,992,248,496,1,,
AAD,AAC,Airline,4870,1217,2435,1,,
AAD,AAE,Airline,6544,1636,3272,1,,
AAE,AAA,Airline,5448,1362,2724.17,1,,
AAE,AAB,Airline,7480,1870,3740.42,1,,
AAE,AAC,Airline,6641,1660,3320.67,1,,
AAE,AAD,Airline,4459,1114,2229.75,1,,
