0,54,,1,0.5
0,27,,1,0.5
0,,,2,1
0,47,52,3,1
0,,,4,1
0,,,5,1
0,25,48,6,1
0,,,7,0.4
0,46,1,7,0.6
0,57,,8,0.571429
0,27,16,8,0.428571
0,54,,9,0.571429
0,13,45,9,0.428571
0,54,32,10,1
0,54,,11,0.5
0,50,,11,0.5
0,,,12,1
0,45,,13,1
0,27,,14,1
0,,,15,1
0,18,,16,1
0,11,,17,1
0,39,,18,1
0,55,39,19,0.6
0,,,19,0.4
0,1,14,20,1
0,,,21,1
0,16,,22,0.5
0,40,,22,0.5
0,51,,23,1
0,45,,24,0.666667
0,,,24,0.333333
0,,,25,1
0,,,26,1
0,9,,27,1
0,53,26,28,1
0,,,29,0.5
0,,,29,0.5
0,21,,30,1
0,18,,31,0.666667
0,,,31,0.333333
0,17,,32,0.571429
0,50,54,32,0.428571
0,,,33,0.333333
0,53,,33,0.666667
0,,,34,0.5
0,,,34,0.5
0,44,51,35,0.5
0,5,26,35,0.5
0,29,,36,0.666667
0,,,36,0.333333
0,,,37,1
0,54,,38,0.666667
0,,,38,0.333333
0,29,36,39,0.6
0,,,39,0.4
0,,,40,0.4
0,49,29,40,0.6
0,51,,41,1
0,,,42,0.5
0,,,42,0.5
0,46,39,43,0.6
0,,,43,0.4
0,20,5,44,1
0,26,,45,1
0,15,12,46,1
0,15,39,47,0.428571
0,10,,47,0.571429
0,,,48,1
0,,,49,0.4
0,45,27,49,0.6
0,53,,50,1
0,55,,51,0.666667
0,,,51,0.333333
0,17,,52,1
0,33,16,53,0.428571
0,1,,53,0.571429
0,24,36,54,1
0,,,55,1
0,45,,56,0.571429
0,51,33,56,0.428571
0,13,,57,1
0,28,,58,0.571429
0,45,9,58,0.428571
0,,,59,0.333333
0,37,,59,0.666667
1,41,16,0,1
1,,,2,1
1,55,13,3,0.5
1,44,7,3,0.5
1,,,4,1
1,50,29,5,0.5
1,56,24,5,0.5
1,15,,6,1
1,52,39,7,1
1,58,,8,1
1,33,22,9,0.6
1,,,9,0.4
1,36,,10,1
1,,,11,0.5
1,,,11,0.5
1,,,12,0.4
1,38,11,12,0.6
1,26,45,13,1
1,7,,14,0.571429
1,9,20,14,0.428571
1,,,15,0.4
1,16,56,15,0.6
1,41,,16,1
1,20,44,17,0.428571
1,11,,17,0.571429
1,,,18,1
1,43,31,19,0.6
1,,,19,0.4
1,,,20,0.4
1,55,56,20,0.6
1,24,16,21,0.6
1,,,21,0.4
1,43,,22,0.5
1,50,,22,0.5
1,,,23,1
1,53,,24,0.5
1,43,,24,0.5
1,,,25,1
1,46,,26,0.5
1,25,,26,0.5
1,3,38,27,1
1,16,39,28,1
1,13,50,29,0.5
1,55,40,29,0.5
1,26,18,30,0.428571
1,36,,30,0.571429
1,20,58,31,1
1,52,,32,1
1,25,,33,0.5
1,10,,33,0.5
1,29,,34,1
1,53,,35,0.571429
1,20,53,35,0.428571
1,20,,36,0.5
1,52,,36,0.5
1,56,,37,1
1,53,17,38,0.6
