0 1587 1406 1687 2529 2958 2100 2195 1079 1956 2942 1459 2905 2557 1544 1838 2032 1033 2222 1221 2156 2047 2532 1320 2633 1374 2020 2441 2757 1878 
2094 0 1748 2275 2681 1759 2847 1522 2314 1100 1082 2005 1675 2378 1147 2622 2047 1115 2272 1234 1472 2744 2205 2933 1743 1877 2872 2741 2122 2341 
1234 2520 0 2785 2315 2624 2939 1074 1176 1340 2999 2287 1211 2600 1980 2322 1170 1878 2024 1441 1353 2836 2350 2987 1697 1484 2931 2832 1795 2036 
1427 2973 1969 0 2440 1625 2923 2520 1596 1589 2929 2694 2605 2650 1404 1563 1774 1929 2594 2517 1926 1944 1010 1582 2805 1817 2545 2007 2293 1314 
2433 1787 1343 1318 0 2122 2584 1126 1222 2051 1237 2106 2309 1385 1690 2253 1324 2983 1990 1398 2136 2979 1211 1431 1335 1393 2554 2166 1373 1723 
2172 2154 2258 2525 2948 0 1987 2525 2763 1913 1746 1116 1029 2820 1707 2747 2333 2939 2153 2744 1682 2515 2420 2954 1707 2274 2530 2563 2287 2856 
2104 2281 2039 2107 1572 1999 0 2863 1179 2556 1377 2808 2297 1711 1968 1449 1580 1680 1293 1817 1854 2721 2762 2830 2364 2452 2224 1299 1068 1917 
1612 2791 2593 1954 1640 1401 1865 0 1791 1391 1591 2187 2852 2210 1916 2127 1563 2023 1631 2480 1601 1772 2154 1094 1954 1175 2664 2836 2681 1907 
1645 2025 2151 1361 1222 1581 2443 1605 0 1235 2471 1739 1535 1633 1790 1395 1132 2489 1961 2798 2578 2350 1072 1333 1177 2183 1289 2149 2970 1782 
1396 2486 1535 2764 2887 2263 2717 1069 1760 0 1282 1092 2449 2814 1121 2572 2931 2573 1185 1068 1601 1707 1042 1173 1629 1907 2873 1109 2963 1072 
1204 2245 2645 2383 1193 2527 1190 1643 1523 1803 0 1682 2050 2308 1832 1422 1503 1804 1354 2058 1645 1795 1909 1716 2544 2920 2750 2108 1327 1097 
2809 1239 2599 1094 1944 1169 2795 2990 1692 1031 1128 0 2424 2274 1776 1487 2598 1813 2705 1902 2002 1544 2461 2281 1235 2299 1089 2880 2428 1129 
1721 1684 1499 1331 2495 1385 1386 2474 2538 2566 2570 2943 0 1826 1852 2734 1873 2860 2063 2355 1095 2442 2795 2515 2226 2756 1387 1442 1290 1132 
2794 2404 1393 1311 2718 2645 2385 2453 2537 1317 2753 1282 1568 0 1642 1757 1600 2672 2918 1342 1489 2468 1762 1791 2810 1479 2659 1458 2234 1960 
2117 1129 1178 2225 2498 1861 2566 2704 2902 2269 2821 2030 2782 2515 0 1449 1301 1298 1959 1112 2536 1403 2586 1303 2569 1593 2215 2913 1328 2780 
2539 2472 2092 1968 2032 2934 1909 2968 2023 2327 1102 1754 1054 2214 2540 0 1353 2863 1165 1725 1320 2995 1380 1412 1136 2975 2274 2486 1726 1565 
2707 2583 1674 2986 2524 2214 1685 2646 2014 1465 1044 1194 2066 2758 1804 1953 0 2056 1946 2606 2121 1869 1098 2988 2173 2977 1446 1280 2049 2637 
1355 1180 2702 1578 2602 1185 2887 2301 1233 2875 1169 2621 2246 2294 2873 2243 1465 0 1701 1703 2562 2200 2001 1403 2835 1093 2731 2157 2014 1808 
2514 2094 1090 1123 1963 2970 1386 2124 2340 2752 1740 1787 1259 1971 1958 1247 1907 2556 0 2436 2859 1390 1492 1978 1602 2363 1757 1303 2210 2260 
1392 1161 1415 1350 1506 1576 1899 1581 1910 2149 1835 1716 2518 2233 2888 2102 2621 1693 1274 0 2691 2252 2973 2377 1339 1171 2513 2093 2171 1971 
2174 1163 1100 1904 1319 1949 1065 1481 2006 2205 1934 1888 2863 1833 1659 2619 2015 1034 1325 1512 0 1684 1705 1769 1243 2385 2633 1620 2642 1388 
2039 2876 1131 1768 1597 2315 1716 2183 1654 2968 2922 2933 2624 2765 2864 2091 2208 1530 2586 1023 1516 0 2085 2913 2724 2744 2470 2068 2429 2531 
1576 1441 2399 1170 1648 1879 2754 2112 1761 2397 2007 1878 1248 2351 1911 2089 1430 2610 2545 1393 2560 2974 0 1522 1819 1680 2468 2965 1365 1757 
2184 1651 2542 1924 1201 1823 2217 2605 2394 1732 1198 2097 2024 2331 2093 1913 2900 2711 1697 2498 1088 2995 1621 0 1862 1559 2775 1257 1897 2030 
2271 2100 2645 1231 1747 2842 2002 1520 2283 2366 1420 2800 2128 2937 1497 2813 2913 1669 2257 1222 1692 2956 1885 1126 0 2438 1908 2116 2918 1512 
1365 2096 2476 2927 2695 1667 2800 2292 2226 2800 2559 2511 1162 1270 2615 2818 1718 1159 1441 2764 1781 1514 2126 2459 2700 0 2921 1321 2305 1873 
1791 2941 2110 2954 2078 1638 1544 1967 2090 2468 2872 1656 1857 2979 2926 2687 2837 1562 1085 1924 2534 2224 1071 2865 1263 2915 0 1969 2344 2991 
2777 1460 1101 2757 1434 2886 2053 2922 2728 2220 2412 2342 2169 2453 1274 2602 2313 1222 2768 2129 1808 2684 2224 2981 1021 2719 1851 0 2504 2770 
2431 1521 2235 1334 2679 2622 1610 1867 1734 2102 1586 1125 1924 1058 2945 2011 2173 2451 2479 1243 1885 1453 2737 2092 1557 2183 2270 1226 0 1931 
2206 2914 1184 2897 1723 2744 1377 2568 2594 1074 1724 1685 1503 1583 2348 2321 1611 2768 2131 2596 1064 1648 2806 1702 2048 1769 2008 1145 2587 0 
