0,150028,144972
1,119591,122689
2,129827,134879
3,80802.4,87234.4
4,69340.5,74669.5
5,161138,155801
6,113224,111096
7,87830,81719
8,84213,87370
9,150838,155675
10,111273,116224
11,170559,164009
12,173318,169434
13,83798.5,86224.5
14,88580,82460
15,108243,105073
16,122720,126823
17,66171.1,66488.1
18,143311,146785
19,111801,108725
20,164275,161228
21,153629,155864
22,82899.3,82473.3
23,65657.8,71330.8
24,197763,194565
25,118265,115582
26,58170.7,61073.7
27,182515,177339
28,79771.3,77867.3
29,173103,176982
