0 21  1 0.628571 -1
0 27 20 1 0.385714 -1
0 22  2 1.1 -1
0 12 4 3 0.471429 -1
0 2  3 0.628571 -1
0 12  4 1.1 -1
0   5 0.55 -1
0   5 0.55 -1
0 23 15 6 0.66 -1
0   6 0.36 -1
0 15 17 7 0.33 -1
0 26 3 7 0.27 -1
0 26  7 0.44 -1
0 18  8 0.327273 -1
0 22 17 8 0.3 -1
0 11  8 0.327273 -1
0 20  9 0.9 -1
0 26 14 10 0.9 -1
0 24  11 0.4 -1
0 5  11 0.4 -1
0 17 6 11 0.3 -1
0 2  12 0.327273 -1
0 5 4 12 0.3 -1
0 11  12 0.4 -1
0 27 8 13 1.1 -1
0   14 0.3 -1
0 13  14 0.733333 -1
0 20  15 0.9 -1
0 5 22 16 0.55 -1
0 26 15 16 0.45 -1
0 5  17 0.9 -1
0 2  18 0.628571 -1
0 22 26 18 0.385714 -1
0 22 5 19 0.3375 -1
0 22 14 19 0.4125 -1
0   19 0.225 -1
0   20 0.9 -1
0 6  21 1.1 -1
0 1 25 22 0.471429 -1
0 24  22 0.628571 -1
0 27 12 23 0.471429 -1
0 26  23 0.514286 -1
0   24 0.366667 -1
0 11  24 0.6 -1
0   25 0.36 -1
0 14 3 25 0.66 -1
0   26 1.1 -1
0 19 4 27 0.9 -1
0 18  28 1.1 -1
0 17 4 29 0.9 -1
1 15  0 0.55 -1
1   0 0.225 -1
1   0 0.275 -1
1 26  2 0.366667 -1
1 19  2 0.366667 -1
1 14  2 0.3 -1
1   3 0.225 -1
1 19  3 0.55 -1
1   3 0.225 -1
1   4 0.9 -1
1   5 0.366667 -1
1 12  5 0.6 -1
1 16  6 0.36 -1
1 13 17 6 0.33 -1
1 26 13 6 0.27 -1
1 5  7 0.55 -1
1   7 0.225 -1
1   7 0.275 -1
1 25 17 8 0.3 -1
1 4 25 8 0.3 -1
1 22 10 8 0.3 -1
1 24  9 0.488889 -1
1 11 0 9 0.366667 -1
1   9 0.244444 -1
1 29 19 10 0.9 -1
1 27  11 0.3 -1
1 28  11 0.3 -1
1 27  11 0.366667 -1
1 26  12 1.1 -1
1 12  13 0.9 -1
1 11 13 14 0.54 -1
1   14 0.44 -1
1 11 17 15 0.9 -1
1   16 0.244444 -1
1 25 4 16 0.366667 -1
1 23  16 0.488889 -1
1 20 29 17 0.471429 -1
1   17 0.257143 -1
1   17 0.257143 -1
