0 21  1 0.457143 -1
0 27 20 1 0.514286 -1
0 22  2 1.2 -1
0 12 4 3 0.514286 -1
0 2  3 0.685714 -1
0 12  4 1.2 -1
0   5 0.6 -1
0   5 0.6 -1
0 23 15 6 0.48 -1
0   6 0.48 -1
0 15 17 7 0.36 -1
0 26 3 7 0.36 -1
0 26  7 0.32 -1
0 18  8 0.436364 -1
0 22 17 8 0.218182 -1
0 11  8 0.436364 -1
0 20  9 0.8 -1
0 26 14 10 0.8 -1
0 24  11 0.290909 -1
0 5  11 0.290909 -1
0 17 6 11 0.327273 -1
0 2  12 0.290909 -1
0 5 4 12 0.327273 -1
0 11  12 0.436364 -1
0 27 8 13 0.8 -1
0   14 0.266667 -1
0 13  14 0.8 -1
0 20  15 0.8 -1
0 5 22 16 0.4 -1
0 26 15 16 0.4 -1
0 5  17 1.2 -1
0 2  18 0.685714 -1
0 22 26 18 0.514286 -1
0 22 5 19 0.3 -1
0 22 14 19 0.3 -1
0   19 0.2 -1
0   20 1.2 -1
0 6  21 1.2 -1
0 1 25 22 0.342857 -1
0 24  22 0.685714 -1
0 27 12 23 0.342857 -1
0 26  23 0.685714 -1
0   24 0.4 -1
0 11  24 0.533333 -1
0   25 0.32 -1
0 14 3 25 0.72 -1
0   26 0.8 -1
0 19 4 27 1.2 -1
0 18  28 1.2 -1
0 17 4 29 0.8 -1
1 15  0 0.6 -1
1   0 0.3 -1
1   0 0.2 -1
1 26  2 0.4 -1
1 19  2 0.266667 -1
1 14  2 0.266667 -1
1   3 0.3 -1
1 19  3 0.6 -1
1   3 0.3 -1
1   4 0.8 -1
1   5 0.4 -1
1 12  5 0.533333 -1
1 16  6 0.48 -1
1 13 17 6 0.24 -1
1 26 13 6 0.36 -1
1 5  7 0.6 -1
1   7 0.2 -1
1   7 0.2 -1
1 25 17 8 0.4 -1
1 4 25 8 0.4 -1
1 22 10 8 0.4 -1
1 24  9 0.533333 -1
1 11 0 9 0.266667 -1
1   9 0.177778 -1
1 29 19 10 1.2 -1
1 27  11 0.4 -1
1 28  11 0.4 -1
1 27  11 0.266667 -1
1 26  12 0.8 -1
1 12  13 1.2 -1
1 11 13 14 0.72 -1
1   14 0.32 -1
1 11 17 15 0.8 -1
1   16 0.177778 -1
1 25 4 16 0.266667 -1
1 23  16 0.355556 -1
1 20 29 17 0.514286 -1
1   17 0.342857 -1
1   17 0.342857 -1
1 22 12 18 0.4 -1
1 24 5 18 0.6 -1
1 12 29 19 0.342857 -1
1 8  19 0.457143 -1
1   20 0.4 -1
1   20 0.6 -1
1   21 0.32 -1
1 22 12 21 0.48 -1
1   22 0.16 -1
1 14  22 0.32 -1
1 15  22 0.32 -1
1 14 13 23 1.2 -1
1 19  24 0.8 -1
1   25 1.2 -1
1 13  26 0.32 -1
1 9  26 0.48 -1
1   26 0.16 -1
1 23 17 27 0.4 -1
1 13 29 27 0.6 -1
1   28 0.6 -1
1   28 0.6 -1
1   29 1.2 -1
2 17 25 0 0.266667 -1
2   0 0.266667 -1
2 15  0 0.533333 -1
2   1 1.2 -1
2 20 29 3 0.218182 -1
