0 21  1 0.6 -1
0 27 20 1 0.45 -1
0 22  2 0.95 -1
0 12 4 3 0.45 -1
0 2  3 0.542857 -1
0 12  4 1.05 -1
0   5 0.525 -1
0   5 0.475 -1
0 23 15 6 0.63 -1
0   6 0.38 -1
0 15 17 7 0.315 -1
0 26 3 7 0.315 -1
0 26  7 0.38 -1
0 18  8 0.381818 -1
0 22 17 8 0.259091 -1
0 11  8 0.345455 -1
0 20  9 1.05 -1
0 26 14 10 0.95 -1
0 24  11 0.381818 -1
0 5  11 0.381818 -1
0 17 6 11 0.286364 -1
0 2  12 0.345455 -1
0 5 4 12 0.259091 -1
0 11  12 0.345455 -1
0 27 8 13 0.95 -1
0   14 0.35 -1
0 13  14 0.7 -1
0 20  15 0.95 -1
0 5 22 16 0.525 -1
0 26 15 16 0.525 -1
0 5  17 1.05 -1
0 2  18 0.542857 -1
0 22 26 18 0.45 -1
0 22 5 19 0.39375 -1
0 22 14 19 0.39375 -1
0   19 0.2375 -1
0   20 0.95 -1
0 6  21 1.05 -1
0 1 25 22 0.407143 -1
0 24  22 0.542857 -1
0 27 12 23 0.407143 -1
0 26  23 0.542857 -1
0   24 0.35 -1
0 11  24 0.633333 -1
0   25 0.38 -1
0 14 3 25 0.57 -1
0   26 0.95 -1
0 19 4 27 1.05 -1
0 18  28 0.95 -1
0 17 4 29 1.05 -1
1 15  0 0.525 -1
1   0 0.2625 -1
1   0 0.2625 -1
1 26  2 0.35 -1
1 19  2 0.316667 -1
1 14  2 0.35 -1
1   3 0.2625 -1
1 19  3 0.525 -1
1   3 0.2375 -1
1   4 0.95 -1
1   5 0.35 -1
1 12  5 0.633333 -1
1 16  6 0.38 -1
1 13 17 6 0.285 -1
1 26 13 6 0.285 -1
1 5  7 0.475 -1
1   7 0.2375 -1
1   7 0.2625 -1
1 25 17 8 0.35 -1
1 4 25 8 0.35 -1
1 22 10 8 0.316667 -1
1 24  9 0.422222 -1
1 11 0 9 0.35 -1
1   9 0.233333 -1
1 29 19 10 0.95 -1
1 27  11 0.35 -1
1 28  11 0.316667 -1
1 27  11 0.316667 -1
1 26  12 0.95 -1
1 12  13 1.05 -1
1 11 13 14 0.63 -1
1   14 0.42 -1
1 11 17 15 0.95 -1
1   16 0.233333 -1
1 25 4 16 0.35 -1
1 23  16 0.466667 -1
1 20 29 17 0.407143 -1
1   17 0.3 -1
1   17 0.271429 -1
1 22 12 18 0.525 -1
1 24 5 18 0.475 -1
1 12 29 19 0.45 -1
1 8  19 0.542857 -1
1   20 0.475 -1
1   20 0.525 -1
1   21 0.42 -1
1 22 12 21 0.63 -1
1   22 0.21 -1
1 14  22 0.38 -1
1 15  22 0.42 -1
1 14 13 23 1.05 -1
1 19  24 1.05 -1
1   25 0.95 -1
1 13  26 0.42 -1
1 9  26 0.42 -1
1   26 0.19 -1
1 23 17 27 0.475 -1
1 13 29 27 0.525 -1
1   28 0.475 -1
1   28 0.525 -1
1   29 1.05 -1
2 17 25 0 0.316667 -1
2   0 0.211111 -1
2 15  0 0.422222 -1
2   1 1.05 -1
2 20 29 3 0.286364 -1
2 21  3 0.345455 -1
2 18  3 0.381818 -1
2   4 0.2625 -1
2 14 6 4 0.35625 -1
2 15 7 4 0.35625 -1
2   5 0.316667 -1
2 26  5 0.7 -1
2 11  6 0.7 -1
2   6 0.35 -1
2   7 0.233333 -1
2 16  7 0.466667 -1
2 4 9 7 0.35 -1
2 11  8 0.633333 -1
2   8 0.35 -1
2 18  9 0.525 -1
2 19  9 0.525 -1
2   10 1.05 -1
2 13 4 11 0.285 -1
2 19 17 11 0.285 -1
2 15  11 0.38 -1
2   12 0.525 -1
2   12 0.525 -1
2   13 1.05 -1
2   14 0.95 -1
2 18 5 15 0.95 -1
2 15  16 0.38 -1
2 5 22 16 0.315 -1
2 19 22 16 0.285 -1
2   17 0.95 -1
2 5 29 18 0.407143 -1
2 27  18 0.542857 -1
2 14  19 0.95 -1
2   20 0.95 -1
2 17 13 21 0.57 -1
2   21 0.42 -1
2 23  22 1.05 -1
2 29 4 23 0.57 -1
2   23 0.42 -1
2 23  24 0.345455 -1
2 29  24 0.345455 -1
2 5 12 24 0.259091 -1
2 11 6 25 1.05 -1
2 25 22 26 0.407143 -1
2 4  26 0.6 -1
2 26 5 27 0.315 -1
2 26 17 27 0.285 -1
2 28  27 0.38 -1
2 6 24 28 0.475 -1
2 26 13 28 0.525 -1
2 25  29 0.42 -1
2 12  29 0.38 -1
2   29 0.21 -1
3 17  0 0.633333 -1
3   0 0.316667 -1
3   1 0.35 -1
3 11  1 0.633333 -1
3   2 0.95 -1
3 29 25 4 0.63 -1
3   4 0.42 -1
3 11  5 0.95 -1
3   6 0.21 -1
3 22  6 0.38 -1
3 16  6 0.42 -1
3   7 0.525 -1
3   7 0.475 -1
3 6  8 0.38 -1
3 25  8 0.38 -1
3   8 0.21 -1
3 4 22 9 1.05 -1
3   10 0.271429 -1
3   10 0.271429 -1
3 8 12 10 0.45 -1
3   11 0.42 -1
3 23 1 11 0.57 -1
3 25 15 12 1.05 -1
3 7 15 13 0.525 -1
3 10 1 13 0.475 -1
3 29  14 0.42 -1
3 11  14 0.42 -1
3   14 0.19 -1
3 16 18 15 0.285 -1
3 29 17 15 0.315 -1
3 24  15 0.42 -1
3   16 0.316667 -1
3   16 0.316667 -1
3   16 0.35 -1
3   17 0.2375 -1
3 26 13 17 0.39375 -1
3 8 21 17 0.35625 -1
3 24  18 0.95 -1
3 13 11 19 1.05 -1
3 15  20 1.05 -1
3   21 0.2375 -1
3   21 0.2625 -1
3 1  21 0.475 -1
3 29  22 1.05 -1
3   23 1.05 -1
3 26 8 24 0.45 -1
3 13  24 0.542857 -1
3 19  25 0.542857 -1
3 6 20 25 0.45 -1
3 13 6 26 0.95 -1
3 11  27 0.95 -1
3 4 2 28 0.525 -1
3 25 17 28 0.525 -1
3 22 10 29 1.05 -1
4 25 22 0 0.45 -1
4 20  0 0.542857 -1
4 6  1 1.05 -1
4 13  2 0.42 -1
4 0  2 0.38 -1
4   2 0.19 -1
4 23  3 0.95 -1
4 19  5 0.7 -1
4   5 0.35 -1
4 5  6 1.05 -1
4   7 1.05 -1
4 26  8 0.95 -1
4 11  9 0.7 -1
4   9 0.316667 -1
4   10 0.38 -1
4 27 7 10 0.57 -1
4 17  11 0.525 -1
4 29  11 0.475 -1
4   12 0.21 -1
4 25  12 0.42 -1
4 29  12 0.42 -1
4   13 0.475 -1
4   13 0.525 -1
4 28 13 14 0.39375 -1
4 22 6 14 0.39375 -1
4   14 0.2625 -1
4 14 21 15 0.259091 -1
4 19  15 0.381818 -1
4 12  15 0.345455 -1
4   16 0.211111 -1
4 3 1 16 0.316667 -1
4 27  16 0.466667 -1
4 1  17 1.05 -1
4   18 1.05 -1
4   19 0.42 -1
4 25 15 19 0.57 -1
4 19  20 0.38 -1
4 17 19 20 0.315 -1
4 7 29 20 0.315 -1
4 27 12 21 0.57 -1
4   21 0.38 -1
4   22 0.271429 -1
4   22 0.271429 -1
4 5 21 22 0.45 -1
4 26 5 23 0.407143 -1
4 13  23 0.6 -1
4   24 0.211111 -1
4 9  24 0.422222 -1
4 20 7 24 0.316667 -1
4   25 0.2375 -1
4   25 0.2375 -1
4 27  25 0.525 -1
4 0 24 26 1.05 -1
4 13  27 1.05 -1
4   28 1.05 -1
4 22 12 29 1.05 -1
5   0 0.271429 -1
5 22 14 0 0.45 -1
5   0 0.271429 -1
5 24 29 1 0.35 -1
5 15  1 0.422222 -1
5   1 0.233333 -1
5   2 0.3 -1
5 17 6 2 0.45 -1
5   2 0.271429 -1
5 13 22 3 0.525 -1
5 24 6 3 0.525 -1
5 26 7 4 0.286364 -1
5 10  4 0.381818 -1
5 27  4 0.345455 -1
5   6 0.271429 -1
5   6 0.271429 -1
5 22 15 6 0.45 -1
5 13 12 7 0.39375 -1
5 15 10 7 0.39375 -1
5   7 0.2375 -1
5 13 20 8 0.525 -1
5 13 14 8 0.525 -1
5 11  9 0.95 -1
5 12  10 1.05 -1
5 8  11 0.42 -1
5 7  11 0.38 -1
5   11 0.21 -1
5 24  12 0.633333 -1
5   12 0.35 -1
5 29  13 0.525 -1
5 17  13 0.525 -1
5 19 3 14 0.285 -1
5 10 4 14 0.285 -1
5 1  14 0.42 -1
5 14 22 15 0.95 -1
5   16 0.525 -1
5   16 0.475 -1
5 19  17 0.38 -1
5 29  17 0.38 -1
5   17 0.21 -1
5 7 25 18 0.525 -1
5 12 11 18 0.525 -1
5   19 0.2375 -1
5 17 0 19 0.35625 -1
5 28 12 19 0.39375 -1
5 13 17 20 0.95 -1
5 14  21 0.7 -1
5   21 0.35 -1
5   22 0.233333 -1
5 24  22 0.466667 -1
5 25 21 22 0.35 -1
5   23 0.2625 -1
5 14  23 0.525 -1
5   23 0.2375 -1
5 4 19 24 0.57 -1
5   24 0.42 -1
5 20  25 0.95 -1
5 11  26 0.381818 -1
5 27  26 0.345455 -1
5 1 15 26 0.259091 -1
5 1  27 0.542857 -1
5 11 1 27 0.407143 -1
5 17  28 0.422222 -1
5 4 13 28 0.316667 -1
5   28 0.233333 -1
5   29 0.95 -1
6   0 0.35 -1
6 26  0 0.7 -1
6 29  1 0.95 -1
6 23  2 1.05 -1
6 19 8 3 0.285 -1
6 2 19 3 0.315 -1
6 5  3 0.38 -1
6 8  4 0.95 -1
6 11 1 5 0.63 -1
6   5 0.42 -1
6   7 0.211111 -1
6 11  7 0.466667 -1
6 29 19 7 0.35 -1
6 29 23 8 0.315 -1
6 20  8 0.42 -1
6 4 7 8 0.285 -1
6 23  9 0.95 -1
6 22  10 0.95 -1
6   11 0.2625 -1
6   11 0.2375 -1
6 17  11 0.475 -1
6 26 15 12 0.475 -1
6 16 19 12 0.525 -1
6   13 0.38 -1
6 25 17 13 0.57 -1
6   14 1.05 -1
6 24  15 1.05 -1
6 12 3 16 0.35 -1
6 22  16 0.422222 -1
6   16 0.211111 -1
6 15  17 0.422222 -1
6 11 4 17 0.35 -1
6   17 0.211111 -1
6 5  18 0.42 -1
6   18 0.19 -1
6 15  18 0.38 -1
6   19 1.05 -1
6 19 8 20 1.05 -1
6   21 0.2375 -1
6   21 0.2625 -1
6 29  21 0.475 -1
6   22 0.95 -1
6   23 0.233333 -1
6 15 8 23 0.35 -1
6 5  23 0.466667 -1
6 26 20 24 0.285 -1
6 15 5 24 0.285 -1
6 17  24 0.42 -1
6 23  25 0.542857 -1
6 9 12 25 0.407143 -1
6   26 0.2625 -1
6 24 21 26 0.39375 -1
6 9 24 26 0.35625 -1
6 5  27 0.6 -1
6 7 17 27 0.45 -1
6 0  28 0.345455 -1
6 2  28 0.345455 -1
6 20 14 28 0.259091 -1
6   29 0.316667 -1
6 0  29 0.7 -1
7 12 4 0 0.95 -1
7 25  1 0.6 -1
7 22 19 1 0.407143 -1
7   2 0.38 -1
7 11 4 2 0.57 -1
7   3 0.35 -1
7 11  3 0.7 -1
7 9 25 4 0.95 -1
7   5 0.233333 -1
7 17 27 5 0.316667 -1
7 19  5 0.422222 -1
7   6 0.525 -1
7   6 0.525 -1
7 17 1 8 0.35 -1
7   8 0.211111 -1
7 26  8 0.466667 -1
7   9 0.475 -1
7   9 0.475 -1
7 22 21 10 0.285 -1
7 6  10 0.42 -1
7 25 22 10 0.315 -1
7 13  11 0.381818 -1
7 19  11 0.381818 -1
7 6 26 11 0.286364 -1
7 19  12 0.6 -1
7 10 23 12 0.407143 -1
7 20  13 0.381818 -1
7 12  13 0.345455 -1
7 5 14 13 0.286364 -1
7 12  14 0.381818 -1
7 13 24 14 0.286364 -1
7 17  14 0.381818 -1
7 18  15 0.381818 -1
7 26 6 15 0.286364 -1
7 22  15 0.381818 -1
7 25 14 16 0.45 -1
7 17  16 0.542857 -1
7 11  17 0.7 -1
7   17 0.316667 -1
7   18 0.2625 -1
7 27 12 18 0.35625 -1
7 22 0 18 0.35625 -1
7 25 14 19 0.475 -1
7 5 23 19 0.475 -1
7 11  20 0.525 -1
7   20 0.2625 -1
7   20 0.2375 -1
7 22  21 0.95 -1
7 26 12 22 0.407143 -1
7   22 0.3 -1
7   22 0.271429 -1
7   23 0.2625 -1
7 26 13 23 0.35625 -1
7 27 20 23 0.35625 -1
7   24 0.35 -1
7 22  24 0.633333 -1
7 14  25 0.422222 -1
7   25 0.211111 -1
7 15 4 25 0.316667 -1
7 19 4 26 0.63 -1
7   26 0.42 -1
7 22  27 1.05 -1
7   28 0.316667 -1
7 6  28 0.633333 -1
7 14 20 29 0.407143 -1
7   29 0.271429 -1
7   29 0.3 -1
8   0 0.19 -1
8 6  0 0.38 -1
8 14  0 0.38 -1
8 19  1 0.466667 -1
8 7 15 1 0.35 -1
8   1 0.233333 -1
8 13  2 0.38 -1
8 24 23 2 0.315 -1
8 6 26 2 0.315 -1
8 1 29 3 0.95 -1
8 13  4 1.05 -1
8 0  5 1.05 -1
8 15  6 0.95 -1
8 22  7 0.42 -1
8   7 0.19 -1
8 0  7 0.42 -1
8 7  9 0.475 -1
8 6  9 0.475 -1
8 17  10 1.05 -1
8   11 1.05 -1
8 22 6 12 0.407143 -1
8 7  12 0.542857 -1
8 14 7 13 0.316667 -1
8 25  13 0.466667 -1
8   13 0.233333 -1
8 5 4 14 0.35 -1
8 6 13 14 0.316667 -1
8 0 1 14 0.316667 -1
8 14 13 15 0.35 -1
8   15 0.211111 -1
8 19  15 0.422222 -1
8 15 23 16 0.95 -1
8 4 5 17 0.35625 -1
8   17 0.2625 -1
8 7 22 17 0.35625 -1
8 27 29 18 0.316667 -1
8 13  18 0.466667 -1
8   18 0.233333 -1
8 9 12 19 0.316667 -1
8   19 0.233333 -1
8 15  19 0.422222 -1
8   20 0.233333 -1
8 5  20 0.466667 -1
8 26 12 20 0.35 -1
8   21 0.35 -1
8 23  21 0.633333 -1
8 6 13 22 0.95 -1
8 22 25 23 0.316667 -1
8   23 0.233333 -1
8 14  23 0.422222 -1
8 20 23 24 0.315 -1
8 12 1 24 0.315 -1
8 29  24 0.38 -1
8 19  25 0.422222 -1
8 13 15 25 0.316667 -1
8   25 0.233333 -1
8 22  26 1.05 -1
8 6 29 27 0.285 -1
8 22 25 27 0.285 -1
8 24  27 0.42 -1
8 29 15 28 0.39375 -1
8   28 0.2625 -1
8 5 29 28 0.39375 -1
8   29 0.2625 -1
8 17  29 0.525 -1
8   29 0.2625 -1
9 8  0 1.05 -1
9 25 13 1 0.316667 -1
9 11 29 1 0.316667 -1
9 4 26 1 0.316667 -1
9 23 4 2 0.316667 -1
9 13 23 2 0.35 -1
9 3 19 2 0.316667 -1
9   3 1.05 -1
9   4 0.42 -1
9 14 5 4 0.63 -1
9 7 29 5 1.05 -1
9 26  6 1.05 -1
9 15  7 0.42 -1
9 25 2 7 0.285 -1
9 12 23 7 0.315 -1
9 11 26 8 1.05 -1
9   10 0.35 -1
9 28  10 0.7 -1
9 19 27 11 0.316667 -1
9   11 0.211111 -1
9 13  11 0.422222 -1
9 4 13 12 0.35625 -1
9 29 0 12 0.35625 -1
9   12 0.2625 -1
9 19  13 0.525 -1
9 10  13 0.525 -1
9 19  14 0.95 -1
9   15 1.05 -1
9 11  16 0.525 -1
9   16 0.2625 -1
9   16 0.2625 -1
9   17 0.316667 -1
9 22  17 0.7 -1
9 14 13 18 0.525 -1
9 19 26 18 0.525 -1
9 15  19 0.316667 -1
9 5  19 0.316667 -1
9 22  19 0.316667 -1
9   20 0.2375 -1
9 16  20 0.475 -1
9   20 0.2375 -1
9 23  21 1.05 -1
9 25  22 0.525 -1
9 15  22 0.475 -1
9   23 0.316667 -1
9 20  23 0.7 -1
9 12 14 24 0.95 -1
9   25 1.05 -1
9 4 17 26 0.63 -1
9   26 0.42 -1
9 26 22 27 0.45 -1
9 24  27 0.542857 -1
9 6  28 1.05 -1
9 13  29 0.7 -1
9   29 0.316667 -1
10 26 2 0 0.95 -1
10 26 3 1 0.35625 -1
10 13 8 1 0.35625 -1
10   1 0.2625 -1
10   2 0.38 -1
10 22 12 2 0.63 -1
10 23 24 3 0.57 -1
10   3 0.42 -1
10 7 23 4 1.05 -1
10 22  5 0.542857 -1
10 14 11 5 0.45 -1
10 20 22 6 0.407143 -1
10 1  6 0.542857 -1
10 12 5 7 0.95 -1
10 1  8 0.95 -1
10 17 25 9 0.63 -1
10   9 0.42 -1
10 9  11 0.525 -1
10 14  11 0.525 -1
10 25  12 0.95 -1
10 24 29 13 0.95 -1
10 26 1 14 0.316667 -1
10 19  14 0.422222 -1
10   14 0.233333 -1
10   15 1.05 -1
10 8  16 0.38 -1
10 12 4 16 0.315 -1
10 21 6 16 0.285 -1
10 4 18 17 0.407143 -1
10 29  17 0.542857 -1
10   18 0.42 -1
10 5 19 18 0.57 -1
10 4  19 1.05 -1
10 12  20 1.05 -1
10 5 4 21 0.525 -1
10 14 24 21 0.475 -1
10 28 5 22 0.316667 -1
