0,258435,268546
1,193167,195975
2,198178,192425
3,280913,279274
4,233931,232172
5,151209,150980
6,281154,275950
7,296256,300203
8,148325,151675
9,107767,108229
10,124360,119011
11,120027,118162
12,163581,164995
13,166637,166765
14,270989,265891
15,208069,208552
16,122134,115814
17,125185,126224
18,161659,164883
19,107426,112108
20,110872,107182
21,292935,294179
22,148810,157177
23,124311,124153
24,335050,333045
25,293916,281339
26,148472,157071
27,97191,99530
28,327393,322744
29,208871,213724
30,99071.3,107429
31,114675,114758
32,230442,243066
33,267105,272757
34,99109.4,97358.4
35,309260,302726
36,288971,288594
37,165801,169136
38,140437,143217
39,208516,205880
40,264231,258313
41,300556,297052
42,131084,143494
43,263163,258111
44,140025,137852
45,283482,277736
46,213539,211565
47,181605,179668
48,267996,259790
49,228861,228672
