0 1589 2777 2655 2553 2418 2070 2258 2838 1512 1791 1023 1608 2280 2315 1370 1950 1011 1576 1175 1037 1331 1215 1137 2062 2302 1566 1744 1551 1182 1036 1757 1881 2766 2611 2141 1621 1770 2985 1483 1362 1859 2835 1848 2172 1498 1140 1097 1102 2642 
2351 0 1509 2246 1510 1899 1291 2054 2089 1421 2987 1202 1479 2409 2152 1611 1473 1028 2565 1876 1590 2793 2958 2211 2192 2370 2648 1793 1001 1350 2513 1052 2644 2751 2513 2076 1549 2882 1378 1677 1806 2454 2422 2382 1688 1071 1417 1691 2192 1195 
1758 2498 0 2690 2028 1119 1642 2599 2975 2218 1850 1967 2569 2442 1008 1548 2685 1042 2725 2598 2802 2965 1668 1173 1393 1384 2141 2733 2231 1051 2784 1935 1416 2602 2336 1654 2257 2497 2117 2647 2269 1993 1004 1129 2895 1095 1895 1184 1212 1793 
2332 2867 2423 0 1211 2934 2161 1190 2332 2174 1231 1415 1762 2715 1851 2622 1231 2679 1273 1365 1397 1537 1600 2631 2726 2216 1875 1262 2249 2618 1783 1083 1031 2764 1159 1479 1841 2539 2416 2010 1706 2992 2890 2186 1677 2124 2917 1541 1244 1732 
2176 2802 1051 2872 0 2600 1382 2824 2331 1250 1275 2302 1879 2706 1541 1732 2861 2649 1913 2134 1209 1744 1920 1139 2786 2934 2304 2161 2976 2884 2658 2001 2064 2670 2285 1098 1046 2869 1122 1881 1237 2363 2103 1694 2776 1540 1471 2327 2911 2888 
1957 1026 1142 2332 2816 0 2721 1508 1274 2465 2809 2631 2395 2121 1599 1914 2833 2278 2096 2244 2375 2643 2574 2612 1326 1836 1788 2069 1046 1930 1773 2293 2521 1210 2516 1521 2703 1737 2492 2340 2139 1723 2329 2870 1982 2798 1017 1698 1684 1508 
1951 1766 2717 1996 1907 2598 0 2176 2515 2821 1191 2938 1035 1048 2640 2589 1950 1069 2440 1976 1853 1359 1852 1158 2695 2171 1415 1765 2164 2166 2380 2899 2717 1695 1771 2203 2795 2296 2299 1950 1475 1704 1824 1179 2150 2831 1532 2762 2648 2133 
1219 1561 1149 1169 2462 2517 1953 0 2730 2557 2091 1251 2806 1772 2761 1312 2919 1408 2546 1395 1710 1444 1946 1742 1795 1706 1256 1195 1807 2651 1777 2468 2131 1678 1082 1924 2822 1678 2137 2122 1201 1495 2279 2885 2457 2428 1092 2644 2510 2295 
1823 2904 1070 1168 2050 1609 1528 2541 0 1228 1303 2646 2512 2598 1679 2440 1760 2247 2192 1918 2726 1682 1580 2739 2342 1450 2338 1230 1564 2599 1604 2054 1674 2851 1362 2384 1645 1138 2551 2486 1181 2004 2373 1020 2133 2634 2159 2134 1262 2942 
2173 2068 1488 2045 2734 2328 2461 1299 1909 0 1972 2726 1834 2591 1085 2199 1966 1070 2824 2808 1547 1032 1062 1462 1696 2583 2750 1410 1843 1906 2150 2541 2149 1070 1840 2914 1983 1449 1695 2428 2868 2462 2987 2512 1002 1259 1913 2660 2952 1040 
