0 20 47 1 1 -1
0 18  2 1 -1
0   3 0.5 -1
0   3 0.5 -1
0 40  4 0.571429 -1
0 29 35 4 0.428571 -1
0 17  5 0.4 -1
0   5 0.2 -1
0 44  5 0.4 -1
0   6 1 -1
0 47  7 0.4 -1
0 21  7 0.4 -1
0   7 0.2 -1
0 48 29 8 0.5 -1
0 20 43 8 0.5 -1
0 13 30 9 0.428571 -1
0 7  9 0.571429 -1
0 28  10 1 -1
0 18 39 11 0.3 -1
0 37 7 11 0.3 -1
0 9  11 0.4 -1
0   12 0.25 -1
0 15  12 0.5 -1
0   12 0.25 -1
0   13 0.285714 -1
0 35 38 13 0.428571 -1
0   13 0.285714 -1
0 44 7 14 1 -1
0   15 0.4 -1
0 3 5 15 0.6 -1
0 42 13 16 0.375 -1
0 24 48 16 0.375 -1
0   16 0.25 -1
0 44 18 17 0.375 -1
0   17 0.25 -1
0 43 3 17 0.375 -1
0   18 1 -1
0 35 27 19 0.333333 -1
0   19 0.222222 -1
0 31  19 0.444444 -1
0 43 14 20 0.333333 -1
0   20 0.222222 -1
0 21  20 0.444444 -1
0 38 44 21 0.428571 -1
0 43  21 0.571429 -1
0   22 1 -1
0 48 33 23 0.6 -1
0   23 0.4 -1
0 10  24 1 -1
0 2  25 0.333333 -1
0 3  25 0.333333 -1
0 6  25 0.333333 -1
0 9 23 26 0.5 -1
0 13 30 26 0.5 -1
0   27 1 -1
0 41  28 1 -1
0 23 6 29 0.5 -1
0 35 7 29 0.5 -1
0 35 42 30 0.428571 -1
0   30 0.285714 -1
0   30 0.285714 -1
0 11  31 0.363636 -1
0 44  31 0.363636 -1
0 47 39 31 0.272727 -1
0   32 1 -1
0   33 0.25 -1
0 30 44 33 0.375 -1
0 47 18 33 0.375 -1
0 8 10 34 1 -1
0 38  35 0.363636 -1
0 40  35 0.363636 -1
0 14 30 35 0.272727 -1
0   36 0.222222 -1
0 18 11 36 0.333333 -1
0 44  36 0.444444 -1
0 48 20 37 0.3 -1
0 11 35 37 0.3 -1
0 44  37 0.4 -1
0 40  38 0.571429 -1
0 45 49 38 0.428571 -1
0 5 8 39 1 -1
0   40 0.285714 -1
0 45 44 40 0.428571 -1
0   40 0.285714 -1
0 5 9 41 0.333333 -1
0 7 47 41 0.333333 -1
0 24 43 41 0.333333 -1
0 49  42 1 -1
0 29  43 1 -1
0   44 0.333333 -1
0   44 0.333333 -1
0   44 0.333333 -1
0   45 1 -1
0 45 10 46 0.5 -1
0 43 2 46 0.5 -1
0   47 1 -1
0   48 1 -1
0 23 44 49 0.428571 -1
0 5  49 0.571429 -1
1 9  0 1 -1
1   2 0.2 -1
1 32  2 0.4 -1
1 35  2 0.4 -1
1 32  3 1 -1
1   4 0.4 -1
1 7 41 4 0.6 -1
1   5 0.333333 -1
1   5 0.333333 -1
1   5 0.333333 -1
1 18  6 0.5 -1
1 26  6 0.5 -1
1 21 23 7 0.375 -1
1   7 0.25 -1
1 38 36 7 0.375 -1
1   8 1 -1
1 48 6 9 0.375 -1
1   9 0.25 -1
1 38 3 9 0.375 -1
1 38 31 10 0.5 -1
1 49 37 10 0.5 -1
1 30  11 0.5 -1
1 47  11 0.5 -1
1 38 45 12 0.5 -1
1 38 9 12 0.5 -1
1 21 41 13 1 -1
1   14 1 -1
1 21 7 15 0.6 -1
1   15 0.4 -1
1 3  16 0.5 -1
1 13  16 0.5 -1
1 24 0 17 1 -1
1   18 1 -1
1 27 48 19 0.272727 -1
1 23  19 0.363636 -1
1 42  19 0.363636 -1
1 32 5 20 0.428571 -1
1 23  20 0.571429 -1
1 3  21 1 -1
1 44 6 22 0.5 -1
1 38 13 22 0.5 -1
1 10 38 23 1 -1
1 11  24 0.5 -1
1 23  24 0.5 -1
1 37  25 1 -1
1 17 38 26 0.5 -1
1 41 37 26 0.5 -1
1   27 0.285714 -1
1   27 0.285714 -1
1 23 18 27 0.428571 -1
1 23  28 1 -1
1 2  29 0.4 -1
1   29 0.2 -1
1 43  29 0.4 -1
1 45 41 30 0.5 -1
1 21 23 30 0.5 -1
1 15 39 31 0.5 -1
1 11 41 31 0.5 -1
1   32 0.4 -1
1 17 3 32 0.6 -1
1 27 44 33 0.5 -1
1 47 24 33 0.5 -1
1 36  34 0.363636 -1
1 47  34 0.363636 -1
1 0 4 34 0.272727 -1
1 23  35 1 -1
1 9  36 0.5 -1
1 47  36 0.5 -1
1   37 1 -1
1 5 20 38 1 -1
1 24 30 39 0.3 -1
1 2 6 39 0.3 -1
1 17  39 0.4 -1
1 10  40 0.4 -1
1   40 0.2 -1
1 49  40 0.4 -1
1   41 0.333333 -1
1 33  41 0.666667 -1
1   42 0.333333 -1
1 10  42 0.666667 -1
1 15 2 43 0.428571 -1
1 0  43 0.571429 -1
1   44 0.5 -1
1   44 0.5 -1
1 3  45 0.666667 -1
1   45 0.333333 -1
1   46 1 -1
1   47 0.4 -1
1 7 10 47 0.6 -1
1 21  48 0.4 -1
1 38  48 0.4 -1
1   48 0.2 -1
1 18 44 49 0.6 -1
1   49 0.4 -1
2   0 0.4 -1
2 35 38 0 0.6 -1
2 18  1 0.5 -1
2 17  1 0.5 -1
2   3 1 -1
2 45 40 4 0.333333 -1
2 41 21 4 0.333333 -1
2 10 35 4 0.333333 -1
2 49  5 1 -1
2 8 45 6 0.6 -1
2   6 0.4 -1
2   7 0.25 -1
2 28 3 7 0.375 -1
2 5 35 7 0.375 -1
2 18  8 0.4 -1
2 26  8 0.4 -1
2   8 0.2 -1
2   9 0.2 -1
2 3  9 0.4 -1
2 7  9 0.4 -1
2 31  10 0.444444 -1
2   10 0.222222 -1
2 36 0 10 0.333333 -1
2 39  11 0.363636 -1
2 3 21 11 0.272727 -1
2 40  11 0.363636 -1
2 48  12 0.4 -1
2 15  12 0.4 -1
2   12 0.2 -1
2 8  13 0.4 -1
2   13 0.2 -1
2 45  13 0.4 -1
2 36 11 14 0.375 -1
2   14 0.25 -1
2 7 24 14 0.375 -1
2   15 0.285714 -1
2 47 26 15 0.428571 -1
2   15 0.285714 -1
2   16 1 -1
2   17 0.4 -1
2 43 21 17 0.6 -1
2   18 0.5 -1
2   18 0.5 -1
2 45  19 1 -1
2 17  20 0.5 -1
2   20 0.25 -1
2   20 0.25 -1
2   21 0.25 -1
2   21 0.25 -1
2 43  21 0.5 -1
2 44 49 22 0.3 -1
2 44  22 0.4 -1
2 49 42 22 0.3 -1
2   23 1 -1
2 14  24 1 -1
2 47  25 0.4 -1
2   25 0.2 -1
2 48  25 0.4 -1
2 30 39 26 0.3 -1
2 11 45 26 0.3 -1
2 37  26 0.4 -1
2   27 1 -1
2   28 1 -1
2 15 44 29 0.428571 -1
2 22  29 0.571429 -1
2   30 1 -1
2   31 1 -1
2 24 35 32 0.3 -1
2 13  32 0.4 -1
2 45 24 32 0.3 -1
2   33 0.333333 -1
2 44  33 0.666667 -1
2 9  34 0.571429 -1
2 49 15 34 0.428571 -1
2 27  35 1 -1
2 45  36 1 -1
2   37 1 -1
2 27 30 38 0.428571 -1
2   38 0.285714 -1
2   38 0.285714 -1
2 21  39 0.5 -1
2 9  39 0.5 -1
2 30  40 0.4 -1
2   40 0.2 -1
2 43  40 0.4 -1
2 12  41 1 -1
2 9  42 0.4 -1
2   42 0.2 -1
2 38  42 0.4 -1
2   43 0.5 -1
2   43 0.5 -1
2 18  44 0.444444 -1
2 7 40 44 0.333333 -1
2   44 0.222222 -1
2 39 18 45 0.428571 -1
2 41  45 0.571429 -1
2   46 0.333333 -1
2 0  46 0.666667 -1
2 32  47 1 -1
2 21 42 48 0.333333 -1
2 32  48 0.444444 -1
2   48 0.222222 -1
2 31 38 49 0.428571 -1
2 28  49 0.571429 -1
3 39  0 0.363636 -1
3 47 48 0 0.272727 -1
3 38  0 0.363636 -1
3   1 1 -1
3 17 35 2 0.428571 -1
3 49  2 0.571429 -1
3 37 47 4 0.6 -1
3   4 0.4 -1
3   5 0.4 -1
3 21 18 5 0.6 -1
3 2  6 0.571429 -1
3 44 21 6 0.428571 -1
3   7 0.285714 -1
3   7 0.285714 -1
3 48 39 7 0.428571 -1
3 4  8 0.363636 -1
3 42  8 0.363636 -1
3 17 47 8 0.272727 -1
3 18 21 9 0.428571 -1
3 2  9 0.571429 -1
3 42 34 10 0.3 -1
3 21 9 10 0.3 -1
3 35  10 0.4 -1
3 13 43 11 1 -1
3   12 1 -1
3 30 23 13 0.375 -1
3   13 0.25 -1
3 44 45 13 0.375 -1
3 49  14 0.666667 -1
3   14 0.333333 -1
3 48  15 0.5 -1
3 21  15 0.5 -1
