0 1376 2207 1424 2320 2717 1395 2278 1436 2302 1693 1381 2141 2110 1045 2672 2431 2919 2389 2405 2074 2880 1213 2735 2661 2248 1497 1424 1135 1337 2551 1141 2667 1404 1607 2426 2594 1427 1156 2218 2854 2536 1208 2347 1575 2594 2630 2878 2559 1465 
1866 0 1345 2067 1946 1757 2444 2499 2628 1213 1704 2494 1442 2787 2962 1077 1650 2742 1242 2922 2946 1963 1482 2512 2633 1449 1448 1910 1602 1212 1558 1264 1660 1067 1025 1166 2063 2192 2780 2462 1146 1135 2176 1437 2092 2320 2884 1905 1470 1931 
1706 2472 0 2172 1439 2392 2850 2308 1912 1145 2035 1233 2409 2050 1610 2951 2382 2334 1278 1871 1802 1186 1924 2558 1314 2564 1551 2776 1162 2824 1569 2943 2781 2714 1178 1278 2596 1260 1480 1246 2398 2898 2817 2851 1172 1346 2610 1636 2960 1130 
1697 1551 2924 0 2305 2420 2752 1295 1334 2764 1459 2885 1364 1414 1777 1680 1658 1335 2696 1148 2478 1031 2558 1851 1799 2056 1743 1661 1122 1024 1568 1807 1568 1070 2907 1298 1104 1059 1150 2218 1768 2575 1433 1598 2202 2440 2986 1752 1543 1374 
2171 1752 2860 2999 0 2301 1343 1830 1734 1624 2130 2425 2479 1021 2856 1663 1485 2111 2579 2319 2314 1812 2436 2310 2396 1296 2627 1422 2286 2028 1449 1201 1410 2597 2480 2245 1510 1796 2536 2768 2858 1229 2450 1153 2572 2344 1792 1712 1227 2277 
1373 1644 1272 2136 1880 0 1456 1918 1620 2057 2971 2590 1450 2083 1648 1238 1291 1796 2796 2504 1823 2033 2493 1562 2419 2240 2875 2500 2972 2833 2572 1718 2729 2228 1684 2459 2184 2251 2732 2673 2855 1497 2780 2414 1457 2759 2077 1635 1467 2162 
2579 1418 1104 2256 2761 1409 0 1272 2164 1429 1832 1074 1691 2543 2357 1515 2766 1642 2068 2853 1031 1107 2562 1512 2427 2413 2324 1312 2809 2568 1181 2070 1929 1905 1024 1265 1690 1396 2863 2272 2865 2899 2275 1322 1226 1122 2206 2401 1450 2828 
1532 1931 2969 2167 2519 2423 2389 0 2227 1699 1666 1283 2414 2317 2226 2760 2097 2481 1641 1611 1109 2701 1282 2477 2029 2913 2150 2512 1301 2353 2371 2197 1608 2279 2234 1239 2976 2260 1193 2967 1357 2114 2789 1556 1220 2568 2976 1761 2312 1319 
2949 2191 1691 1667 1431 3000 1814 2837 0 1010 1033 2695 2923 2932 1291 2800 1577 2036 2415 1017 2791 1091 1328 2956 2519 2555 2439 1275 2883 2198 2994 1374 2467 1817 2911 1249 1035 2093 1702 2106 1732 1004 1850 2418 2544 2085 1650 2121 2560 1364 
1857 2986 1217 2201 1394 1265 2268 1875 2139 0 1694 2250 2183 2567 2040 2220 1823 2764 2587 1612 2208 2537 1148 1721 2584 1662 2759 1744 2623 1878 1691 1054 2022 1617 1389 2954 1811 1923 1918 1970 2310 2318 1362 2219 2198 2158 1865 2804 1895 2524 
