0 8  1 0.466667 -1
0   1 0.233333 -1
0 9 18 1 0.35 -1
0 9 18 2 0.95 -1
0 6 5 3 0.95 -1
0 9  4 0.633333 -1
0   4 0.35 -1
0 11  5 0.422222 -1
0   5 0.233333 -1
0 2 4 5 0.316667 -1
0 10  6 0.95 -1
0 17 4 7 0.45 -1
0 16  7 0.542857 -1
0 11 18 8 1.05 -1
0 4  9 0.42 -1
0 2  9 0.42 -1
0   9 0.21 -1
0 12 7 10 0.259091 -1
0 5  10 0.381818 -1
0 6  10 0.381818 -1
0 13  11 0.6 -1
0 9 6 11 0.407143 -1
0   12 0.475 -1
0   12 0.525 -1
0 9  13 0.95 -1
0 2  14 0.95 -1
0 10  15 0.95 -1
0   16 0.35 -1
0   16 0.35 -1
0   16 0.35 -1
0   17 0.475 -1
0   17 0.475 -1
0 6  18 1.05 -1
0 14 18 19 0.35625 -1
0 14 5 19 0.35625 -1
0   19 0.2625 -1
1 16 11 0 0.95 -1
1   2 0.2375 -1
1 17  2 0.525 -1
1   2 0.2625 -1
1   3 0.2375 -1
1 14 16 3 0.35625 -1
1 7 0 3 0.39375 -1
1 18 3 4 0.39375 -1
1 17 6 4 0.35625 -1
1   4 0.2375 -1
1 16 0 5 0.95 -1
1   6 0.95 -1
1 18  7 0.42 -1
1   7 0.21 -1
1 12  7 0.42 -1
1   8 0.42 -1
1 5 19 8 0.63 -1
1   9 0.316667 -1
1   9 0.35 -1
1   9 0.316667 -1
1   10 0.2375 -1
1   10 0.2375 -1
1 16  10 0.525 -1
1   11 0.38 -1
1 10 19 11 0.63 -1
1   12 0.316667 -1
1 10  12 0.7 -1
1 16 11 13 0.57 -1
1   13 0.38 -1
1 10  14 0.542857 -1
1 9 11 14 0.407143 -1
1 0 9 15 0.475 -1
1 3 14 15 0.475 -1
1 6  16 0.35 -1
1 14  16 0.316667 -1
1 6  16 0.35 -1
1 18  17 0.6 -1
1 12 15 17 0.407143 -1
1   18 0.38 -1
1 9 14 18 0.57 -1
1 5  19 0.95 -1
2 7 17 0 1.05 -1
2 7  1 1.05 -1
2 4  3 0.381818 -1
2 18  3 0.345455 -1
2 14 17 3 0.286364 -1
2 9  4 0.42 -1
2 19  4 0.42 -1
2   4 0.19 -1
2 10 14 5 0.57 -1
2   5 0.42 -1
2 11  6 0.345455 -1
2 16 9 6 0.286364 -1
2 14  6 0.345455 -1
2 18  7 0.345455 -1
2 3 19 7 0.259091 -1
2 10  7 0.381818 -1
2 4 13 8 1.05 -1
2   9 0.525 -1
2   9 0.475 -1
2   10 0.42 -1
2 19 12 10 0.63 -1
2 7  11 1.05 -1
2   12 0.211111 -1
2 0  12 0.466667 -1
2 4 17 12 0.316667 -1
2 3 4 13 0.407143 -1
2 10  13 0.542857 -1
2 0 13 14 0.57 -1
2   14 0.42 -1
2   15 0.38 -1
2 4 11 15 0.63 -1
2 17  16 0.7 -1
2   16 0.316667 -1
2 9 11 17 1.05 -1
2 4  18 0.95 -1
2 13  19 0.345455 -1
2 10  19 0.345455 -1
2 5 10 19 0.259091 -1
3   0 1.05 -1
3 0  1 1.05 -1
3 6  2 1.05 -1
3 11  4 0.95 -1
3   5 0.2625 -1
3 16 6 5 0.35625 -1
3 7 9 5 0.35625 -1
3 16  6 0.466667 -1
3   6 0.211111 -1
3 5 4 6 0.316667 -1
3 17 13 7 0.57 -1
3   7 0.42 -1
3 16 14 8 0.63 -1
3   8 0.38 -1
3 5 16 9 0.407143 -1
3 2  9 0.6 -1
3 0  10 0.466667 -1
