0 8  1 0.4 -1
0   1 0.2 -1
0 9 18 1 0.366667 -1
0 9 18 2 1.1 -1
0 6 5 3 1.1 -1
0 9  4 0.6 -1
0   4 0.366667 -1
0 11  5 0.488889 -1
0   5 0.2 -1
0 2 4 5 0.366667 -1
0 10  6 1.1 -1
0 17 4 7 0.471429 -1
0 16  7 0.628571 -1
0 11 18 8 0.9 -1
0 4  9 0.44 -1
0 2  9 0.44 -1
0   9 0.18 -1
0 12 7 10 0.245455 -1
0 5  10 0.4 -1
0 6  10 0.4 -1
0 13  11 0.514286 -1
0 9 6 11 0.471429 -1
0   12 0.45 -1
0   12 0.45 -1
0 9  13 0.9 -1
0 2  14 1.1 -1
0 10  15 0.9 -1
0   16 0.366667 -1
0   16 0.366667 -1
0   16 0.3 -1
0   17 0.45 -1
0   17 0.55 -1
0 6  18 0.9 -1
0 14 18 19 0.3375 -1
0 14 5 19 0.4125 -1
0   19 0.225 -1
1 16 11 0 1.1 -1
1   2 0.275 -1
1 17  2 0.55 -1
1   2 0.275 -1
1   3 0.225 -1
1 14 16 3 0.3375 -1
1 7 0 3 0.4125 -1
1 18 3 4 0.4125 -1
1 17 6 4 0.4125 -1
1   4 0.225 -1
1 16 0 5 1.1 -1
1   6 0.9 -1
1 18  7 0.44 -1
1   7 0.18 -1
1 12  7 0.44 -1
1   8 0.44 -1
1 5 19 8 0.66 -1
1   9 0.366667 -1
1   9 0.366667 -1
1   9 0.366667 -1
1   10 0.275 -1
1   10 0.275 -1
1 16  10 0.55 -1
1   11 0.36 -1
1 10 19 11 0.66 -1
1   12 0.3 -1
1 10  12 0.733333 -1
1 16 11 13 0.66 -1
1   13 0.36 -1
1 10  14 0.514286 -1
1 9 11 14 0.385714 -1
1 0 9 15 0.45 -1
1 3 14 15 0.45 -1
1 6  16 0.3 -1
1 14  16 0.3 -1
1 6  16 0.366667 -1
1 18  17 0.514286 -1
1 12 15 17 0.471429 -1
1   18 0.36 -1
1 9 14 18 0.66 -1
1 5  19 1.1 -1
2 7 17 0 0.9 -1
2 7  1 0.9 -1
2 4  3 0.327273 -1
2 18  3 0.4 -1
2 14 17 3 0.3 -1
2 9  4 0.44 -1
2 19  4 0.36 -1
2   4 0.18 -1
2 10 14 5 0.54 -1
2   5 0.36 -1
2 11  6 0.4 -1
2 16 9 6 0.3 -1
2 14  6 0.327273 -1
2 18  7 0.4 -1
2 3 19 7 0.245455 -1
2 10  7 0.327273 -1
2 4 13 8 1.1 -1
2   9 0.45 -1
2   9 0.55 -1
2   10 0.36 -1
2 19 12 10 0.66 -1
2 7  11 1.1 -1
2   12 0.244444 -1
2 0  12 0.4 -1
2 4 17 12 0.366667 -1
2 3 4 13 0.471429 -1
2 10  13 0.628571 -1
2 0 13 14 0.54 -1
2   14 0.36 -1
2   15 0.36 -1
2 4 11 15 0.66 -1
2 17  16 0.733333 -1
2   16 0.3 -1
2 9 11 17 1.1 -1
2 4  18 0.9 -1
2 13  19 0.327273 -1
2 10  19 0.327273 -1
2 5 10 19 0.3 -1
3   0 1.1 -1
3 0  1 1.1 -1
3 6  2 0.9 -1
3 11  4 0.9 -1
3   5 0.225 -1
3 16 6 5 0.3375 -1
3 7 9 5 0.3375 -1
3 16  6 0.488889 -1
3   6 0.244444 -1
3 5 4 6 0.366667 -1
3 17 13 7 0.54 -1
3   7 0.44 -1
3 16 14 8 0.54 -1
3   8 0.36 -1
3 5 16 9 0.385714 -1
3 2  9 0.514286 -1
3 0  10 0.4 -1
3 17 14 10 0.366667 -1
3   10 0.2 -1
3 6 18 11 1.1 -1
3   12 1.1 -1
3 14 19 13 0.366667 -1
3 12  13 0.4 -1
3   13 0.244444 -1
3 6 18 14 0.366667 -1
3   14 0.2 -1
3 4  14 0.488889 -1
3 16 10 15 0.9 -1
3 14  16 0.55 -1
3 18  16 0.45 -1
3   17 0.45 -1
3   17 0.45 -1
3   18 0.44 -1
3 9 12 18 0.66 -1
3 14 10 19 0.9 -1
4 19 13 0 0.385714 -1
4 12  0 0.628571 -1
4 17  1 0.733333 -1
4   1 0.3 -1
4   2 0.45 -1
4   2 0.55 -1
4   3 0.9 -1
4   5 0.55 -1
4   5 0.55 -1
4   6 0.366667 -1
4 2  6 0.6 -1
4 9  7 0.9 -1
4 11 2 8 0.366667 -1
4   8 0.2 -1
4 11  8 0.4 -1
4 6  9 0.6 -1
4   9 0.3 -1
4   10 0.275 -1
4   10 0.225 -1
4 7  10 0.45 -1
4 5  11 0.488889 -1
4 13 12 11 0.366667 -1
4   11 0.244444 -1
4   12 0.36 -1
4 18 3 12 0.66 -1
4   13 0.22 -1
4 9  13 0.44 -1
4 9  13 0.36 -1
4 18  14 0.9 -1
4 2 0 15 1.1 -1
4 9 18 16 1.1 -1
4 2  17 0.366667 -1
4 0  17 0.366667 -1
4 5  17 0.3 -1
4   18 0.244444 -1
4 6 3 18 0.3 -1
