0 2469 2652 1952 1451 2611 1069 1160 1047 1308 1613 1406 1693 1069 1628 1381 2698 1414 2290 2135 
1802 0 1653 1858 2717 2900 2855 2167 1560 1691 2631 2220 1608 1857 1001 1876 2517 2196 2930 2508 
1786 2617 0 2128 1259 2199 1270 1758 2598 2646 1169 1785 2127 1404 1026 1967 1968 1440 1267 2256 
2906 2421 2190 0 1792 1003 1564 2577 1164 2546 2414 1029 2004 1203 1704 1866 2571 2166 1676 1781 
1211 1585 1874 1752 0 1401 2378 1415 1552 1058 2153 2316 2458 2758 1665 1073 2842 1608 1729 1488 
1438 1897 2930 1246 1502 0 2386 2711 2879 1473 2013 1999 2873 1826 1101 2626 1135 1727 2819 2813 
1138 1128 2583 2907 2919 1804 0 1272 1578 1585 1539 1530 1862 2459 1597 1027 1269 2303 1699 2682 
2348 2578 1280 1388 2849 2666 1340 0 2646 1005 1121 1336 2486 2925 2026 2880 1928 1629 2670 1274 
1460 2837 2821 2751 2634 1141 1481 2694 0 1114 2646 1186 2670 2122 1840 1147 1174 2704 2886 1751 
2623 2076 2151 2922 2428 1937 2461 1868 2209 0 1277 1090 1207 2938 1462 1093 2588 2744 2612 2447 
1526 2788 2992 2198 1546 2507 1272 1049 2976 1880 0 2809 2835 1111 1770 2552 1589 1532 1193 1456 
1836 1044 1130 1656 2219 2809 1593 1774 2173 1119 2556 0 1566 2738 2368 2590 1034 1329 2747 1804 
1978 1797 2375 1022 2979 2512 1191 2859 2824 2212 2158 1712 0 2553 1859 2363 2860 1177 2577 2362 
1772 2992 2155 2111 1941 1046 2830 2244 1983 2625 1148 1909 2774 0 2581 1555 1825 2030 2474 1795 
2265 2642 2565 2860 2314 2404 2141 1284 1506 1857 2098 2155 2802 1146 0 2019 2856 2441 1003 1230 
2122 2953 1631 2436 1471 1818 1254 1188 2271 1895 1522 2869 2976 2243 1583 0 1924 1295 2452 2739 
1913 1394 2182 2726 2925 1849 1629 2824 2313 2891 1709 1449 1248 2522 1722 2245 0 1770 2636 2983 
2909 2181 2369 1075 1241 1953 2102 1108 1612 1805 1913 2863 1730 1049 2057 1768 1925 0 1377 1618 
2976 1044 2573 1533 2724 2183 1449 1308 1644 1838 1050 2395 2222 2743 1819 1866 2351 1894 0 2304 
1407 1212 1548 1543 1262 1998 1452 2167 1031 1672 1678 2739 2105 2358 2811 2022 2413 2276 1128 0 
