0 8  1 0.533333 -1
0   1 0.266667 -1
0 9 18 1 0.266667 -1
0 9 18 2 0.8 -1
0 6 5 3 1.2 -1
0 9  4 0.533333 -1
0   4 0.266667 -1
0 11  5 0.355556 -1
0   5 0.266667 -1
0 2 4 5 0.4 -1
0 10  6 1.2 -1
0 17 4 7 0.514286 -1
0 16  7 0.685714 -1
0 11 18 8 0.8 -1
0 4  9 0.32 -1
0 2  9 0.32 -1
0   9 0.16 -1
0 12 7 10 0.218182 -1
0 5  10 0.436364 -1
0 6  10 0.436364 -1
0 13  11 0.457143 -1
0 9 6 11 0.514286 -1
0   12 0.6 -1
0   12 0.4 -1
0 9  13 1.2 -1
0 2  14 1.2 -1
0 10  15 0.8 -1
0   16 0.266667 -1
0   16 0.4 -1
0   16 0.266667 -1
0   17 0.4 -1
0   17 0.4 -1
0 6  18 1.2 -1
0 14 18 19 0.3 -1
0 14 5 19 0.45 -1
0   19 0.2 -1
1 16 11 0 1.2 -1
1   2 0.3 -1
1 17  2 0.6 -1
1   2 0.2 -1
1   3 0.3 -1
1 14 16 3 0.3 -1
1 7 0 3 0.45 -1
1 18 3 4 0.45 -1
1 17 6 4 0.3 -1
1   4 0.2 -1
1 16 0 5 1.2 -1
1   6 0.8 -1
1 18  7 0.48 -1
1   7 0.24 -1
1 12  7 0.32 -1
1   8 0.48 -1
1 5 19 8 0.72 -1
1   9 0.266667 -1
1   9 0.266667 -1
1   9 0.4 -1
1   10 0.2 -1
1   10 0.2 -1
1 16  10 0.6 -1
1   11 0.32 -1
1 10 19 11 0.48 -1
1   12 0.266667 -1
1 10  12 0.533333 -1
1 16 11 13 0.72 -1
1   13 0.32 -1
1 10  14 0.457143 -1
1 9 11 14 0.342857 -1
1 0 9 15 0.6 -1
1 3 14 15 0.4 -1
1 6  16 0.266667 -1
1 14  16 0.4 -1
1 6  16 0.266667 -1
1 18  17 0.457143 -1
1 12 15 17 0.514286 -1
1   18 0.32 -1
1 9 14 18 0.72 -1
1 5  19 1.2 -1
2 7 17 0 0.8 -1
2 7  1 1.2 -1
