0 7  1 0.8 -1
0 4 12 2 1.2 -1
0 10  3 0.8 -1
0   3 0.4 -1
0 19 14 4 0.266667 -1
0   4 0.266667 -1
0 12  4 0.533333 -1
0 16  5 0.8 -1
0 12  6 0.355556 -1
0   6 0.266667 -1
0 7 2 6 0.4 -1
0   7 0.342857 -1
0 14 2 7 0.514286 -1
0   7 0.342857 -1
0   8 0.8 -1
0 15 12 9 0.8 -1
0   10 0.3 -1
0 9 8 10 0.45 -1
0 4 16 10 0.45 -1
0   11 0.2 -1
0   11 0.3 -1
0 2  11 0.4 -1
0 1 14 12 0.514286 -1
0 10  12 0.457143 -1
0 17 19 13 1.2 -1
0   14 0.48 -1
0 16 7 14 0.48 -1
0 1  15 1.2 -1
0 12 13 16 0.4 -1
0 2 8 16 0.4 -1
0 1 18 17 0.8 -1
0 7 11 18 0.327273 -1
0 1  18 0.436364 -1
0 12  18 0.436364 -1
0   19 0.32 -1
0 9 8 19 0.72 -1
1 14  0 0.48 -1
1   0 0.16 -1
1 10  0 0.48 -1
1 14 16 2 0.4 -1
1   2 0.266667 -1
1 15  2 0.355556 -1
1   3 1.2 -1
1 13  4 1.2 -1
1 16 7 5 0.514286 -1
1   5 0.228571 -1
1   5 0.228571 -1
1 11  6 0.436364 -1
1 10  6 0.290909 -1
1 11 9 6 0.327273 -1
1 10 14 7 0.24 -1
1 10 3 7 0.24 -1
1 10  7 0.32 -1
1 2 9 8 0.72 -1
1   8 0.32 -1
1 0 13 9 0.24 -1
1 17 15 9 0.36 -1
1 10  9 0.48 -1
1   10 1.2 -1
1 13  11 0.32 -1
1 16  11 0.32 -1
1   11 0.16 -1
1 9  12 0.533333 -1
1 15 8 12 0.266667 -1
1   12 0.266667 -1
1   13 1.2 -1
1   14 1.2 -1
1 11 0 15 1.2 -1
1 19  16 0.290909 -1
1 9 13 16 0.218182 -1
1 6  16 0.290909 -1
1 9  17 0.48 -1
1   17 0.24 -1
1 4  17 0.32 -1
1   18 1.2 -1
1 11 0 19 0.8 -1
2 17  0 1.2 -1
2 12  1 1.2 -1
2 0 17 3 0.72 -1
2   3 0.32 -1
2   4 0.266667 -1
2 13 12 4 0.4 -1
2 17  4 0.533333 -1
2 12  5 1.2 -1
2   6 0.8 -1
2   7 1.2 -1
2 10  8 0.32 -1
2 16  8 0.32 -1
2   8 0.24 -1
2   9 0.8 -1
2   10 0.266667 -1
2   10 0.266667 -1
2   10 0.4 -1
2 13 9 11 0.8 -1
2 10 13 12 0.342857 -1
2 5  12 0.457143 -1
