0 1085 2606 1174 1298 2294 1600 2211 1737 1559 1919 1723 2091 2802 1291 2915 2589 1998 2665 2499 2945 2979 2333 2088 1693 1372 1246 1027 2371 2832 2536 2544 1261 1720 1639 2684 2644 2825 1369 2992 2347 2309 1617 1281 2870 2264 2226 1039 2929 1278 2306 2576 1935 2864 1566 2860 2458 1550 1812 1771 
1413 0 2425 2196 2315 2272 1102 2179 2978 1862 2010 2798 1109 1867 1195 2925 2893 1132 2148 1359 2650 1437 2798 1052 2712 1132 1228 1848 2243 2889 2565 2223 2827 2705 2031 2123 1373 2377 1566 2524 1762 2126 2040 1623 1209 1635 2718 1183 1597 1785 1809 1049 2417 2759 1453 1240 2303 2434 2830 2533 
2906 1311 0 1673 1992 2315 2218 1623 2704 1361 2587 2014 1907 2339 1427 2808 1657 2306 1675 2248 1140 2533 1448 2705 2221 2051 2968 2920 2117 1094 1598 2191 1790 2731 1560 1507 2224 2574 1795 2746 2752 1806 1391 1313 1571 1556 1101 1518 1077 2283 1641 1027 1043 2292 2821 1025 1561 2863 1415 1688 
1462 1693 2974 0 1421 2973 1411 1555 2179 2993 2427 2696 2175 2670 2520 1149 1122 1104 2388 2832 1320 2839 2922 1500 2774 1880 1403 1722 1463 1010 1852 1262 2349 1664 2847 1859 1995 2171 2267 1870 2922 2423 1875 1223 2501 2626 1436 1162 1472 2645 2581 2724 2170 2383 2404 1054 2269 1966 1347 2249 
1503 2661 2463 2968 0 1485 1838 2813 2538 1900 2486 1602 1640 2120 2633 1829 2842 1729 2149 1585 2602 2224 1154 2579 1530 1554 1012 2527 1039 2186 1243 1191 1245 1240 2889 1810 1940 1432 1332 1465 2266 2667 1728 1577 1910 1843 2829 2256 2469 2436 1420 2777 2118 2680 2000 2490 2483 2342 1136 1063 
1944 2142 2789 2645 1278 0 2177 2156 1975 2578 2155 1787 2199 1463 2107 2635 1891 1830 2509 2076 1185 1479 2678 1971 1558 1130 2302 1999 2381 2089 1389 2748 2612 1871 2738 1741 2565 2757 2253 2033 1230 2855 1888 2997 1316 2964 1596 2571 2829 1304 2454 1764 2983 2962 1195 2137 2037 2211 1181 2172 
1502 1474 1802 1221 2540 1350 0 2115 2233 1613 1785 2020 2792 1607 1001 2065 2518 1075 2885 1261 1396 2457 1981 1475 1780 2343 1081 2200 2415 2723 2700 1256 2220 1265 2087 1627 2198 1597 1660 1516 1415 1006 2382 2625 2603 2668 1258 1273 1595 1202 1963 1871 1328 2639 1863 1879 1844 2442 2212 1216 
1451 1040 1780 2644 2723 1607 1583 0 2861 2199 1343 2011 2195 2167 1899 1622 1614 1172 2848 1446 2916 1556 1609 2993 2025 1669 2999 1930 2631 2856 1738 2368 2582 1272 1033 2754 2842 2130 2423 1248 1747 1205 1767 1345 2716 2246 1284 2056 1309 1321 1244 1723 2838 1854 1269 1529 1581 2791 2638 1321 
2178 2079 2734 2746 1286 2578 2905 2529 0 2482 2461 1629 2760 2807 1707 1993 1723 1905 2303 2293 1791 2665 2267 1950 2004 1824 2279 1320 1580 1368 1385 1503 2764 2745 2352 2578 2870 2637 1116 2149 2432 2663 1811 1305 2040 1125 2143 2295 1810 1678 1229 1285 1919 2248 1497 1078 1392 1877 2502 2700 
2267 2799 2151 1964 1271 1397 2918 1861 2463 0 1200 2323 2218 2162 2780 2614 2049 2427 1347 1347 1587 2159 2626 1257 1723 2664 1822 1203 2921 1232 1316 2904 2311 2599 2386 2884 1574 2878 2925 1921 2670 2067 1543 2465 1997 2319 1357 1172 2563 2673 2976 1292 1716 1064 2869 2696 1609 1306 2861 2868 
