0 10  1 1 -1
0 43  2 0.666667 -1
0   2 0.333333 -1
0 9  3 0.4 -1
0 24 16 3 0.3 -1
0 46 33 3 0.3 -1
0   4 0.285714 -1
0   4 0.285714 -1
0 45 16 4 0.428571 -1
0 35 57 5 0.428571 -1
0   5 0.285714 -1
0   5 0.285714 -1
0 59 45 6 1 -1
0 53 26 7 0.333333 -1
0 1 29 7 0.333333 -1
0 31 35 7 0.333333 -1
0   8 1 -1
0   9 0.285714 -1
0 4 7 9 0.428571 -1
0   9 0.285714 -1
0   10 1 -1
0 6 25 11 0.3 -1
0 36  11 0.4 -1
0 10 46 11 0.3 -1
0   12 1 -1
0 37 45 13 0.6 -1
0   13 0.4 -1
0   14 1 -1
0   15 1 -1
0 1  16 0.4 -1
0 43 36 16 0.3 -1
0 7 42 16 0.3 -1
0 4  17 0.363636 -1
0 11 43 17 0.272727 -1
0 6  17 0.363636 -1
0   18 1 -1
0 9 31 19 0.428571 -1
0 48  19 0.571429 -1
0 42 39 20 0.333333 -1
0 57  20 0.444444 -1
0   20 0.222222 -1
0   21 0.285714 -1
0   21 0.285714 -1
0 58 39 21 0.428571 -1
0 23 3 22 1 -1
0 29 56 23 1 -1
0 10 31 24 0.333333 -1
0 4  24 0.444444 -1
0   24 0.222222 -1
0 24  25 0.363636 -1
0 27  25 0.363636 -1
0 31 36 25 0.272727 -1
0   26 1 -1
0 56  27 0.4 -1
0 5 3 27 0.3 -1
0 48 56 27 0.3 -1
0   28 0.2 -1
0 5  28 0.4 -1
0 36  28 0.4 -1
0   29 0.5 -1
0   29 0.5 -1
0 19  30 0.5 -1
0   30 0.25 -1
0   30 0.25 -1
0 33 29 31 1 -1
0 24 31 32 1 -1
0 20  33 1 -1
0 45  34 0.4 -1
0   34 0.2 -1
0 33  34 0.4 -1
0   35 0.222222 -1
0 42  35 0.444444 -1
0 39 4 35 0.333333 -1
0 51  36 0.363636 -1
0 33 24 36 0.272727 -1
0 40  36 0.363636 -1
0 44  37 0.571429 -1
0 1 5 37 0.428571 -1
0   38 0.333333 -1
0 42  38 0.666667 -1
0   39 1 -1
0   40 0.25 -1
0 46  40 0.5 -1
0   40 0.25 -1
0 13  41 0.4 -1
0 1 26 41 0.3 -1
0 29 9 41 0.3 -1
0 56 22 42 1 -1
0 1  43 1 -1
0   44 1 -1
0   45 0.285714 -1
0   45 0.285714 -1
0 25 42 45 0.428571 -1
0 47  46 0.5 -1
0 53  46 0.5 -1
0 1  47 0.666667 -1
0   47 0.333333 -1
0   48 0.25 -1
0 42  48 0.5 -1
0   48 0.25 -1
0 33 37 49 0.375 -1
0   49 0.25 -1
0 51 43 49 0.375 -1
0 23  50 1 -1
0   51 1 -1
0   52 0.333333 -1
0 29  52 0.666667 -1
0   53 0.333333 -1
0 1  53 0.666667 -1
0 55 19 54 0.5 -1
0 43 29 54 0.5 -1
0   55 0.2 -1
0 5  55 0.4 -1
0 35  55 0.4 -1
0 3  56 1 -1
0 33 3 57 0.6 -1
0   57 0.4 -1
0 23 43 58 1 -1
0   59 0.4 -1
0 4 46 59 0.6 -1
1 9  0 0.571429 -1
1 29 47 0 0.428571 -1
1 44  2 0.5 -1
1 33  2 0.5 -1
1 47 56 3 1 -1
1 37 54 4 1 -1
1 17 24 5 0.428571 -1
1 15  5 0.571429 -1
1   6 1 -1
1   7 1 -1
1   8 0.333333 -1
1 36  8 0.666667 -1
1 6  9 1 -1
1 24 54 10 0.375 -1
1 20 43 10 0.375 -1
1   10 0.25 -1
1 57 6 11 0.5 -1
1 7 51 11 0.5 -1
1 35  12 1 -1
1 45  13 0.4 -1
1   13 0.2 -1
1 46  13 0.4 -1
1   14 0.333333 -1
1   14 0.333333 -1
1   14 0.333333 -1
1 37  15 0.571429 -1
1 59 10 15 0.428571 -1
1   16 1 -1
1   17 1 -1
1 4  18 1 -1
1 45  19 0.444444 -1
1 42 45 19 0.333333 -1
1   19 0.222222 -1
1   20 0.4 -1
1 26 39 20 0.6 -1
1 49  21 1 -1
1 20 55 22 0.3 -1
1 32  22 0.4 -1
1 39 24 22 0.3 -1
1   23 0.333333 -1
1 54  23 0.666667 -1
1 45  24 0.666667 -1
1   24 0.333333 -1
1 40 19 25 0.6 -1
1   25 0.4 -1
1   26 0.5 -1
1   26 0.5 -1
1   27 1 -1
1 56 46 28 1 -1
1 42  29 0.444444 -1
1   29 0.222222 -1
1 25 31 29 0.333333 -1
1   30 0.222222 -1
1 35 4 30 0.333333 -1
1 20  30 0.444444 -1
1 3  31 0.666667 -1
1   31 0.333333 -1
1   32 0.222222 -1
1 33  32 0.444444 -1
1 56 37 32 0.333333 -1
1 27 23 33 0.272727 -1
1 15  33 0.363636 -1
1 48  33 0.363636 -1
1   34 0.222222 -1
1 57 5 34 0.333333 -1
1 46  34 0.444444 -1
1 5  35 0.571429 -1
1 59 49 35 0.428571 -1
1 45 16 36 0.428571 -1
1   36 0.285714 -1
1   36 0.285714 -1
1 21 52 37 1 -1
1 57  38 0.444444 -1
1   38 0.222222 -1
1 42 44 38 0.333333 -1
1   39 1 -1
1   40 1 -1
1 48  41 1 -1
1 29 43 42 0.3 -1
1 47  42 0.4 -1
1 25 53 42 0.3 -1
1 33 25 43 1 -1
