0 18  1 0.444444 -1
0 21 6 1 0.333333 -1
0   1 0.222222 -1
0 40  2 0.571429 -1
0 15 13 2 0.428571 -1
0   3 0.5 -1
0   3 0.5 -1
0   4 0.5 -1
0   4 0.5 -1
0   5 0.4 -1
0 10 7 5 0.6 -1
0   6 1 -1
0 14 17 7 1 -1
0 1  8 1 -1
0 6 47 9 0.6 -1
0   9 0.4 -1
0   10 0.4 -1
0 43 31 10 0.6 -1
0   11 1 -1
0 21 47 12 0.5 -1
0 41 9 12 0.5 -1
0 55  13 0.5 -1
0 53  13 0.5 -1
0   14 0.4 -1
0 11 8 14 0.6 -1
0 55  15 0.571429 -1
0 37 24 15 0.428571 -1
0 47  16 0.666667 -1
0   16 0.333333 -1
0   17 1 -1
0 58  18 0.571429 -1
0 17 1 18 0.428571 -1
0   19 1 -1
0   20 0.25 -1
0   20 0.25 -1
0 51  20 0.5 -1
0   21 1 -1
0 31  22 0.333333 -1
0 58  22 0.333333 -1
0 31  22 0.333333 -1
0   23 0.333333 -1
0 25  23 0.666667 -1
0 21  24 0.444444 -1
0 19 11 24 0.333333 -1
0   24 0.222222 -1
0   25 0.285714 -1
0 49 6 25 0.428571 -1
0   25 0.285714 -1
0 55 24 26 0.6 -1
0   26 0.4 -1
0 8 41 27 0.5 -1
0 45 10 27 0.5 -1
0 22  28 1 -1
0 53 58 29 1 -1
0 8  30 1 -1
0 46  31 1 -1
0   32 0.5 -1
0   32 0.5 -1
0 21  33 0.4 -1
0 49 42 33 0.3 -1
0 49 59 33 0.3 -1
0   34 0.285714 -1
0   34 0.285714 -1
0 21 55 34 0.428571 -1
0 9 41 35 1 -1
0 22  36 0.5 -1
0 27  36 0.5 -1
0   37 0.25 -1
0   37 0.25 -1
0 36  37 0.5 -1
0 56  38 1 -1
0   39 1 -1
0 47  40 0.4 -1
0 25 1 40 0.3 -1
0 51 16 40 0.3 -1
0   41 1 -1
0 46 21 42 0.5 -1
0 2 17 42 0.5 -1
0   43 0.25 -1
0   43 0.25 -1
0 39  43 0.5 -1
0 11 14 44 0.428571 -1
0 55  44 0.571429 -1
0   45 0.333333 -1
0   45 0.333333 -1
0   45 0.333333 -1
0 15 13 46 1 -1
0   47 1 -1
0   48 1 -1
0 33  49 1 -1
0   50 0.25 -1
0 36 47 50 0.375 -1
0 22 38 50 0.375 -1
0 25  51 1 -1
0   52 1 -1
0   53 0.5 -1
0   53 0.5 -1
0 14 21 54 0.6 -1
0   54 0.4 -1
0 22 31 55 0.428571 -1
0   55 0.285714 -1
0   55 0.285714 -1
0 38 42 56 1 -1
0 51  57 1 -1
0 55 17 58 1 -1
0 14 6 59 0.272727 -1
0 7  59 0.363636 -1
0 39  59 0.363636 -1
1 19 54 0 0.5 -1
1 50 57 0 0.5 -1
1 45  2 0.333333 -1
1 32  2 0.333333 -1
1 37  2 0.333333 -1
1 46 49 3 0.6 -1
1   3 0.4 -1
1   4 0.25 -1
1 29  4 0.5 -1
1   4 0.25 -1
1 27  5 0.444444 -1
1   5 0.222222 -1
1 6 57 5 0.333333 -1
1 22  6 0.4 -1
1   6 0.2 -1
1 54  6 0.4 -1
1   7 1 -1
1 43 7 8 1 -1
1 13  9 1 -1
1 14 20 10 0.272727 -1
1 17  10 0.363636 -1
1 15  10 0.363636 -1
1 57 21 11 1 -1
1   12 0.285714 -1
1 39 52 12 0.428571 -1
1   12 0.285714 -1
1 3 52 13 1 -1
1 2  14 0.444444 -1
1 51 22 14 0.333333 -1
1   14 0.222222 -1
1 14 45 15 0.6 -1
1   15 0.4 -1
1 39  16 0.363636 -1
1 17  16 0.363636 -1
1 6 13 16 0.272727 -1
1 55  17 0.4 -1
1 50 47 17 0.3 -1
1 43 53 17 0.3 -1
1   18 0.222222 -1
1 45 29 18 0.333333 -1
1 37  18 0.444444 -1
1   19 0.25 -1
1   19 0.25 -1
1 13  19 0.5 -1
1   20 0.285714 -1
1 17 6 20 0.428571 -1
1   20 0.285714 -1
1 25  21 0.571429 -1
1 31 51 21 0.428571 -1
1   22 1 -1
1 45 10 23 0.3 -1
1 52  23 0.4 -1
1 55 47 23 0.3 -1
1 25  24 1 -1
1   25 1 -1
1 45  26 0.4 -1
1 15  26 0.4 -1
1   26 0.2 -1
1 24  27 1 -1
1 39 9 28 1 -1
1   29 0.333333 -1
1 40  29 0.666667 -1
1 2 44 30 0.375 -1
1 39 11 30 0.375 -1
1   30 0.25 -1
1   31 0.222222 -1
1 7 39 31 0.333333 -1
1 42  31 0.444444 -1
1   32 0.5 -1
1   32 0.5 -1
1 24 11 33 0.428571 -1
1   33 0.285714 -1
1   33 0.285714 -1
1   34 0.4 -1
1 49 39 34 0.6 -1
1 55  35 1 -1
1 13 49 36 1 -1
1   37 0.5 -1
1   37 0.5 -1
1   38 0.285714 -1
1   38 0.285714 -1
1 32 18 38 0.428571 -1
1 6 14 39 1 -1
1 24  40 1 -1
1   41 0.333333 -1
1 8  41 0.666667 -1
1   42 1 -1
1 44  43 1 -1
1   44 0.4 -1
1 2 25 44 0.6 -1
1 49  45 0.4 -1
1   45 0.2 -1
1 10  45 0.4 -1
1   46 1 -1
1 6 59 47 0.6 -1
1   47 0.4 -1
1 10 32 48 1 -1
1 9  49 0.666667 -1
1   49 0.333333 -1
1 5  50 0.571429 -1
1 47 13 50 0.428571 -1
1 38 58 51 0.6 -1
1   51 0.4 -1
1   52 0.2 -1
1 22  52 0.4 -1
1 14  52 0.4 -1
1 47 58 53 0.333333 -1
1   53 0.222222 -1
1 20  53 0.444444 -1
1 49  54 0.4 -1
1   54 0.2 -1
1 29  54 0.4 -1
1 31  55 1 -1
1   56 0.5 -1
1   56 0.5 -1
1 49 17 57 0.428571 -1
1 14  57 0.571429 -1
1 5 42 58 1 -1
1   59 1 -1
2 55 24 0 0.428571 -1
2   0 0.285714 -1
2   0 0.285714 -1
2 5  1 1 -1
2 27  3 1 -1
2   4 1 -1
2 32 19 5 1 -1
2 24  6 1 -1
2 0  7 0.4 -1
2 27 29 7 0.3 -1
2 46 50 7 0.3 -1
2 47  8 1 -1
2 23 22 9 0.272727 -1
2 15  9 0.363636 -1
2 27  9 0.363636 -1
2 37 21 10 0.6 -1
2   10 0.4 -1
2 17 32 11 1 -1
2 17  12 0.5 -1
2 6  12 0.5 -1
