0 93  1 0.571429 -1
0 7 79 1 0.428571 -1
0 86  2 0.4 -1
0   2 0.2 -1
0 67  2 0.4 -1
0 21 9 3 0.428571 -1
0   3 0.285714 -1
0   3 0.285714 -1
0 15 86 4 1 -1
0 87  5 0.666667 -1
0   5 0.333333 -1
0 7  6 0.571429 -1
0 47 12 6 0.428571 -1
0 90 93 7 1 -1
0   8 0.333333 -1
0 87  8 0.666667 -1
0 19  9 1 -1
0 41 46 10 1 -1
0 70 74 11 0.6 -1
0   11 0.4 -1
0   12 0.285714 -1
0 75 20 12 0.428571 -1
0   12 0.285714 -1
0 6 5 13 0.375 -1
0   13 0.25 -1
0 34 89 13 0.375 -1
0 4 95 14 0.5 -1
0 47 63 14 0.5 -1
0 54  15 0.4 -1
0   15 0.2 -1
0 40  15 0.4 -1
0   16 0.285714 -1
0   16 0.285714 -1
0 19 15 16 0.428571 -1
0 16 61 17 0.428571 -1
0 59  17 0.571429 -1
0   18 0.333333 -1
0   18 0.333333 -1
0   18 0.333333 -1
0 46 50 19 0.272727 -1
0 83  19 0.363636 -1
0 62  19 0.363636 -1
0 9 79 20 1 -1
0   21 1 -1
0   22 0.333333 -1
0 12  22 0.666667 -1
0   23 0.5 -1
0   23 0.5 -1
0 4  24 0.666667 -1
0   24 0.333333 -1
0 67 6 25 1 -1
0 74  26 1 -1
0 97 58 27 1 -1
0 70  28 0.444444 -1
0   28 0.222222 -1
0 9 13 28 0.333333 -1
0 9  29 1 -1
0 35  30 0.571429 -1
0 53 54 30 0.428571 -1
0 79  31 0.571429 -1
0 28 47 31 0.428571 -1
0 90 74 32 1 -1
0   33 1 -1
0 12  34 0.4 -1
0 98 63 34 0.3 -1
0 69 84 34 0.3 -1
0 65 81 35 0.333333 -1
0 24  35 0.444444 -1
0   35 0.222222 -1
0 58  36 1 -1
0 86  37 0.666667 -1
0   37 0.333333 -1
0 42 5 38 0.428571 -1
0 88  38 0.571429 -1
0 54  39 0.444444 -1
0   39 0.222222 -1
0 12 88 39 0.333333 -1
0   40 0.5 -1
0   40 0.5 -1
0 15  41 1 -1
0 77 96 42 0.428571 -1
0 38  42 0.571429 -1
0 12  43 0.666667 -1
0   43 0.333333 -1
0   44 0.285714 -1
0 41 74 44 0.428571 -1
0   44 0.285714 -1
0   45 0.333333 -1
0 3  45 0.666667 -1
0   46 0.5 -1
0   46 0.5 -1
0 25  47 1 -1
0 72  48 0.4 -1
0 66  48 0.4 -1
0   48 0.2 -1
0 21  49 0.444444 -1
0   49 0.222222 -1
0 11 2 49 0.333333 -1
0 54  50 0.5 -1
0   50 0.25 -1
0   50 0.25 -1
0   51 0.333333 -1
0 24  51 0.666667 -1
0 12  52 1 -1
0   53 0.222222 -1
0 72  53 0.444444 -1
0 96 25 53 0.333333 -1
0 22  54 0.444444 -1
0   54 0.222222 -1
0 5 67 54 0.333333 -1
0 48 72 55 0.6 -1
0   55 0.4 -1
0 83  56 0.333333 -1
0 34  56 0.333333 -1
0 49  56 0.333333 -1
0 54  57 0.571429 -1
0 89 44 57 0.428571 -1
0   58 0.4 -1
0 56 79 58 0.6 -1
0 40 24 59 0.272727 -1
0 84  59 0.363636 -1
0 56  59 0.363636 -1
0   60 0.4 -1
0 81 20 60 0.6 -1
0 3 70 61 0.375 -1
0   61 0.25 -1
0 15 73 61 0.375 -1
0 56 81 62 0.5 -1
0 52 72 62 0.5 -1
0 7  63 1 -1
0   64 0.5 -1
0   64 0.5 -1
0   65 0.5 -1
0   65 0.5 -1
0 62  66 0.571429 -1
0 65 27 66 0.428571 -1
0 12 65 67 0.333333 -1
0 83  67 0.444444 -1
0   67 0.222222 -1
0 6 37 68 1 -1
0   69 0.5 -1
0   69 0.5 -1
0 24 47 70 1 -1
0 15  71 0.363636 -1
0 13 41 71 0.272727 -1
0 99  71 0.363636 -1
0 70  72 0.4 -1
0 83 54 72 0.3 -1
0 70 52 72 0.3 -1
0 9  73 1 -1
0   74 0.5 -1
0   74 0.5 -1
0 45  75 0.571429 -1
0 12 24 75 0.428571 -1
0 63  76 0.571429 -1
0 46 44 76 0.428571 -1
0 81 62 77 0.6 -1
0   77 0.4 -1
0 53  78 0.5 -1
0   78 0.25 -1
0   78 0.25 -1
0   79 1 -1
0   80 0.25 -1
0 63  80 0.5 -1
0   80 0.25 -1
0 67 50 81 1 -1
0   82 1 -1
0   83 0.333333 -1
0   83 0.333333 -1
0   83 0.333333 -1
0 89  84 1 -1
0 63 81 85 0.6 -1
0   85 0.4 -1
0   86 0.333333 -1
0 48  86 0.666667 -1
0 75  87 1 -1
0 16 46 88 0.6 -1
0   88 0.4 -1
0 55 9 89 0.333333 -1
0 59  89 0.444444 -1
0   89 0.222222 -1
0 21 65 90 0.5 -1
0 24 80 90 0.5 -1
0 95 15 91 0.6 -1
0   91 0.4 -1
0   92 0.333333 -1
0 84  92 0.666667 -1
0   93 0.25 -1
0 96  93 0.5 -1
0   93 0.25 -1
0 56 80 94 0.333333 -1
0   94 0.222222 -1
0 67  94 0.444444 -1
0   95 0.333333 -1
0   95 0.333333 -1
0   95 0.333333 -1
0 32 92 96 0.6 -1
0   96 0.4 -1
0 88 67 97 0.3 -1
0 71 99 97 0.3 -1
0 8  97 0.4 -1
