0 76 30 1 0.428571 -1
0 45  1 0.571429 -1
0 16  2 0.363636 -1
0 97  2 0.363636 -1
0 4 35 2 0.272727 -1
0 13 80 3 0.333333 -1
0   3 0.222222 -1
0 65  3 0.444444 -1
0 55 84 4 0.333333 -1
0 58  4 0.444444 -1
0   4 0.222222 -1
0 19 99 5 1 -1
0 79 4 6 0.272727 -1
0 51  6 0.363636 -1
0 32  6 0.363636 -1
0 94 89 7 0.3 -1
0 74 88 7 0.3 -1
0 96  7 0.4 -1
0   8 0.333333 -1
0 13  8 0.666667 -1
0 39  9 0.571429 -1
0 99 10 9 0.428571 -1
0 1  10 1 -1
0 80  11 0.666667 -1
0   11 0.333333 -1
0 10  12 0.571429 -1
0 28 89 12 0.428571 -1
0   13 1 -1
0   14 0.2 -1
0 93  14 0.4 -1
0 25  14 0.4 -1
0   15 0.5 -1
0   15 0.5 -1
0   16 0.333333 -1
0   16 0.333333 -1
0   16 0.333333 -1
0 55 85 17 1 -1
0 42  18 0.666667 -1
0   18 0.333333 -1
0 93 46 19 1 -1
0 60 30 20 0.3 -1
0 66 56 20 0.3 -1
0 29  20 0.4 -1
0   21 0.222222 -1
0 63  21 0.444444 -1
0 43 60 21 0.333333 -1
0 42  22 0.571429 -1
0 91 2 22 0.428571 -1
0 99 49 23 0.428571 -1
0 85  23 0.571429 -1
0 1 32 24 0.6 -1
0   24 0.4 -1
0   25 0.285714 -1
0   25 0.285714 -1
0 86 49 25 0.428571 -1
0 53 39 26 0.375 -1
0 35 49 26 0.375 -1
0   26 0.25 -1
0 16 97 27 0.3 -1
0 24 62 27 0.3 -1
0 24  27 0.4 -1
0 96 42 28 1 -1
0   29 1 -1
0 36 1 30 1 -1
0 17  31 0.5 -1
0 78  31 0.5 -1
0 10 14 32 1 -1
0   33 0.4 -1
0 56 29 33 0.6 -1
0   34 0.25 -1
0   34 0.25 -1
0 66  34 0.5 -1
0 41 96 35 0.333333 -1
0 63  35 0.444444 -1
0   35 0.222222 -1
0 72 94 36 0.6 -1
0   36 0.4 -1
0   37 0.285714 -1
0 58 36 37 0.428571 -1
0   37 0.285714 -1
0   38 0.333333 -1
0 76  38 0.666667 -1
0 32 37 39 1 -1
0   40 0.4 -1
0 96 60 40 0.6 -1
0 57 5 41 0.428571 -1
0   41 0.285714 -1
0   41 0.285714 -1
0 50  42 0.571429 -1
0 49 78 42 0.428571 -1
0   43 1 -1
0   44 0.333333 -1
0   44 0.333333 -1
0   44 0.333333 -1
0 89 42 45 0.3 -1
0 76 46 45 0.3 -1
0 33  45 0.4 -1
0   46 1 -1
0 74 77 47 1 -1
0   48 1 -1
0   49 0.4 -1
0 57 36 49 0.6 -1
0   50 0.285714 -1
0 80 76 50 0.428571 -1
0   50 0.285714 -1
0 66 19 51 0.428571 -1
0   51 0.285714 -1
0   51 0.285714 -1
0 65 94 52 0.272727 -1
0 7  52 0.363636 -1
0 90  52 0.363636 -1
0 93  53 0.5 -1
0 23  53 0.5 -1
0   54 0.5 -1
0   54 0.5 -1
0   55 1 -1
0 35 16 56 0.428571 -1
0 12  56 0.571429 -1
0 49 16 57 1 -1
0 89 37 58 0.3 -1
0 27  58 0.4 -1
0 95 79 58 0.3 -1
0 14  59 1 -1
0 3 59 60 0.5 -1
0 57 7 60 0.5 -1
0   61 1 -1
0   62 1 -1
0 51  63 0.666667 -1
0   63 0.333333 -1
0 61 39 64 0.428571 -1
0   64 0.285714 -1
0   64 0.285714 -1
0 42  65 0.5 -1
0 89  65 0.5 -1
0 16 91 66 0.375 -1
0   66 0.25 -1
0 94 56 66 0.375 -1
0 80 89 67 0.333333 -1
0 4  67 0.444444 -1
0   67 0.222222 -1
0 3  68 1 -1
0 79  69 0.5 -1
0 96  69 0.5 -1
0   70 0.25 -1
