0 41  1 0.571429 -1
0 14 36 1 0.428571 -1
0 38 51 2 0.333333 -1
0 50 76 2 0.333333 -1
0 57 60 2 0.333333 -1
0 2  3 1 -1
0 33  4 0.666667 -1
0   4 0.333333 -1
0   5 1 -1
0   6 0.285714 -1
0 27 51 6 0.428571 -1
0   6 0.285714 -1
0 33 31 7 1 -1
0   8 0.222222 -1
0 38  8 0.444444 -1
0 46 27 8 0.333333 -1
0 65  9 0.4 -1
0   9 0.2 -1
0 33  9 0.4 -1
0 59 33 10 0.272727 -1
0 37  10 0.363636 -1
0 16  10 0.363636 -1
0 71 35 11 0.428571 -1
0   11 0.285714 -1
0   11 0.285714 -1
0 59  12 0.5 -1
0   12 0.25 -1
0   12 0.25 -1
0   13 0.25 -1
0 77  13 0.5 -1
0   13 0.25 -1
0 60 20 14 1 -1
0   15 1 -1
0 68  16 0.5 -1
0 49  16 0.5 -1
0   17 0.285714 -1
0   17 0.285714 -1
0 69 65 17 0.428571 -1
0 74  18 1 -1
0 60  19 1 -1
0   20 0.222222 -1
0 29 48 20 0.333333 -1
0 77  20 0.444444 -1
0   21 1 -1
0 51 43 22 1 -1
0 48 41 23 0.5 -1
0 26 46 23 0.5 -1
0   24 0.4 -1
0 9 49 24 0.6 -1
0   25 0.333333 -1
0 33  25 0.666667 -1
0 52  26 1 -1
0 24  27 1 -1
0   28 0.25 -1
0   28 0.25 -1
0 6  28 0.5 -1
0 15 47 29 0.428571 -1
0 45  29 0.571429 -1
0 36  30 1 -1
0 20 41 31 1 -1
0 35 4 32 1 -1
0 15  33 0.666667 -1
0   33 0.333333 -1
0   34 0.4 -1
0 77 60 34 0.6 -1
0 47  35 1 -1
0 41 27 36 0.428571 -1
0 65  36 0.571429 -1
0   37 0.285714 -1
0   37 0.285714 -1
0 68 66 37 0.428571 -1
0 26  38 1 -1
0 37  39 0.5 -1
0   39 0.25 -1
0   39 0.25 -1
0 48  40 0.444444 -1
0 29 64 40 0.333333 -1
0   40 0.222222 -1
0 13  41 0.4 -1
0 23  41 0.4 -1
0   41 0.2 -1
0 27 14 42 1 -1
0 27  43 1 -1
0 11  44 1 -1
0   45 0.285714 -1
0 64 36 45 0.428571 -1
0   45 0.285714 -1
